Fixed broadband subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Agriculture, forestry, and fishing, value added (% of GDP)","Birth rate, crude (per 1,000 people)",Population ages 65 and above (% of total population),"Death rate, crude (per 1,000 people)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),Fixed telephone subscriptions (per 100 people),Arable land (% of land area),Gross savings (% of GDP),Rural population,Urban population (% of total population),Net ODA received (% of GNI),"Population, female (% of total population)","Government expenditure on education, total (% of GDP)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Fuel exports (% of merchandise exports),"GNI, PPP (current international $)",Rural population (% of total population),"GNI per capita, PPP (current international $)"
0.03,67.9,26.42,37.34,2.4,7.03,90.54,58.12,0.33,11.8,21.84,1792520.0,25.25,2.8,49.42,4.34,2.27,5.23,84288052074.0,74.75,2360.0
10.48,9.3,19.02,10.87,14.4,8.15,46.72,42.86,8.51,22.34,16.53,1167112.0,59.38,1.29,49.88,3.61,2.64,0.82,36782961161.0,40.62,12800.0
7.7,24.5,11.03,24.76,5.5,4.54,54.68,17.36,9.84,3.14,21.84,11496842.0,72.05,0.09,49.04,5.73,5.01,3.5300000000000002,556000000000.0,27.95,13520.0
10.905000000000001,15.9,6.59,16.6,5.49,5.1,55.63,13.9,13.2,4.65,21.84,6346.0,87.17,2.8,50.06,4.26,4.03,3.5300000000000002,70734620622.5,12.83,14380.0
46.48,3.2,0.56,16.200000000000003,13.18,7.445,38.66,40.04,52.1,1.74,21.84,8750.0,88.15,2.8,49.37,3.22,2.12,0.01,70734620622.5,11.85,14380.0
0.32,15.9,10.02,40.81,2.55,8.24,93.01,36.71,0.53,4.29,23.1,10621656.0,64.84,0.32,50.63,2.47,2.65,3.5300000000000002,198000000000.0,35.16,6570.0
9.95,10.6,1.66,11.79,8.76,5.75,40.74,20.45,26.5,9.09,21.84,68601.0,24.71,0.71,52.3,2.37,4.47,0.0,1837175017.0,75.29,20160.0
17.71,11.0,5.23,16.21,11.33,7.69,55.61,42.99,22.0,14.76,13.07,3634137.0,91.75,0.0,50.5,5.45,3.32,2.79,70734620622.5,8.25,22910.0
10.82,13.1,14.99,13.61,11.25,9.66,45.59,58.87,17.2,15.67,17.18,1052274.0,63.1,2.16,50.335,2.71,3.86,3.58,37214214838.0,36.9,13050.0
10.905000000000001,15.9,0.02,11.53,12.98,8.41,45.6,11.11,13.2,11.11,14.31,59791.0,43.29,2.8,52.72,4.46,3.1,0.12,3855139713.0,56.71,36560.0
32.03,3.8,2.7,12.6,15.42,6.5,52.14,48.34,34.2,4.0,21.8,3466571.0,85.9,2.8,50.39,5.32,4.46,3.5300000000000002,70734620622.5,14.1,47090.0
28.54,3.6,1.21,10.0,18.6,9.5,49.29,32.17,42.2,16.1,26.34,3686708.0,58.09,2.8,50.83,5.37,2.95,1.9,472000000000.0,41.91,53670.0
18.11,23.2,5.61,14.6,5.78,5.8,43.7,57.8,16.9,25.34,29.03,4400516.0,55.34,0.31,50.7,2.47,4.38,3.5300000000000002,136000000000.0,44.66,13770.0
22.25,13.7,0.78,11.65,7.43,6.84,41.72,1.3,29.2,0.8,15.8,68133.0,82.93,2.8,52.01,2.69,2.6,15.36,12573916227.0,17.08,31510.0
