Country Name,Year,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural population,Rural population (% of total population),Surface area (sq. km),Access to electricity (% of population),"Annual freshwater withdrawals, total (% of internal resources)",CPIA public sector management and institutions cluster average (1=low to 6=high),Ease of doing business rank (1=most business-friendly regulations),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Land area where elevation is below 5 meters (% of total land area),"Mortality rate, under-5 (per 1,000 live births)",Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),Population living in areas where elevation is below 5 meters (% of total population),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Urban population,Urban population (% of total population),"Adjusted net savings, including particulate emission damage (% of GNI)","Central government debt, total (% of GDP)","Current account balance (BoP, current US$)",Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)",GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Medium and high-tech manufacturing value added (% manufacturing value added),Net ODA received (% of GNI),Net ODA received per capita (current US$),Net official development assistance received (current US$),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Revenue, excluding grants (% of GDP)",Short-term debt (% of total reserves),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)","Children out of school, primary, female","Children out of school, primary, male","Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Gross intake ratio in first grade of primary education, female (% of relevant age group)","Gross intake ratio in first grade of primary education, male (% of relevant age group)","Labor force, female (% of total labor force)","Labor force, total","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Persistence to last grade of primary, female (% of cohort)","Persistence to last grade of primary, male (% of cohort)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),"Progression to secondary school, female (%)","Progression to secondary school, male (%)","Pupil-teacher ratio, primary","Repeaters, primary, female (% of female enrollment)","Repeaters, primary, male (% of male enrollment)","School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% net)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","School enrollment, secondary (% net)","School enrollment, tertiary (% gross)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Bird species, threatened",Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Fish species, threatened","Mammal species, threatened","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Plant species (higher), threatened",Population living in slums (% of urban population),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)","Air transport, registered carrier departures worldwide",Container port traffic (TEU: 20 foot equivalent units),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Investment in energy with private participation (current US$),Investment in transport with private participation (current US$),Investment in water and sanitation with private participation (current US$),Mobile cellular subscriptions (per 100 people),Public private partnerships investment in ICT (current US$),Rail lines (total route-km),Secure Internet servers (per 1 million people),Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),Completeness of birth registration (%),Completeness of death registration with cause-of-death information (%),"Contraceptive prevalence, any method (% of married women ages 15-49)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Fertility rate, total (births per woman)","Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","International migrant stock, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality caused by road traffic injury (per 100,000 population)",Net migration,"Number of surgical procedures (per 100,000 population)",Population ages 65 and above (% of total population),"Population, female (% of total population)",Pregnant women receiving prenatal care (%),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of anemia among children (% of children ages 6-59 months),"Prevalence of overweight, weight for height (% of children under 5)","Prevalence of severe wasting, weight for height (% of children under 5)","Prevalence of stunting, height for age (% of children under 5)",Prevalence of undernourishment (% of population),"Prevalence of wasting, weight for height (% of children under 5)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),"Specialist surgical workforce (per 100,000 population)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Unmet need for contraception (% of married women ages 15-49),CPIA economic management cluster average (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),IDA resource allocation index (1=low to 6=high),"Intentional homicides (per 100,000 people)",Military expenditure (% of GDP),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net investment in nonfinancial assets (% of GDP),Net lending (+) / net borrowing (-) (% of GDP),Proportion of seats held by women in national parliaments (%),Strength of legal rights index (0=weak to 12=strong),Total tax and contribution rate (% of profit),"Children in employment, female (% of female children ages 7-14)","Children in employment, male (% of male children ages 7-14)","Children in employment, total (% of children ages 7-14)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Energy imports, net (% of energy use)",Fuel exports (% of merchandise exports),High-technology exports (% of manufactured exports),High-technology exports (current US$),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)","Lead time to export, median case (days)","Lead time to import, median case (days)",Logistics performance index: Overall (1=low to 5=high),Medium and high-tech exports (% manufactured exports),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)"
Afghanistan,2017,5.99,58.12,26.42,11.8,2091.4,99.21,20.45,99.84,1.85,12084.4,652230.0,100.27,0.32,26643455.0,74.75,652860.0,97.7,43.02,2.6,,,,,67.9,2.87,10.98,,35643418.0,,,87.25,,19.5,0.64,8999963.0,25.25,,,-3554897942.0,39.22,,14.51,2751986639.0,18753456498.0,2.65,2360.0,84288052074.0,3532890000.0,,,10.05,4.98,6.9,20.1,106.94,3811739990.0,0.22,13.04,5.8,311920000.0,4.35,8097280956.0,,,4.34,10.25,11.31,,,,22.42,9254593.0,,,,,,,,,45.12,52.48,85.55,94.04,47.98,3.51,3.79,,106.13,,0.68,55.4,48.44,,,11.18,,2.27,,,65.86,100.0,,,1322.82,47.15,24207.0,,0.03,0.33,19000000.0,,,67.14,,,44.24,90.54,37.34,53.4,,,,7.03,,5.13,0.42,66.0,67.0,189.0,,66.1,60.11,63.02,682.0,15.1,-47090.0,,2.4,49.42,70.2,0.1,44.2,,,,22.7,,,,,,,3.0,2.6,2.5,2.68,6.8,0.95,0.75,0.39,,0.36,27.71,9.0,71.4,,,,21.23,73.36,92.7,81.63,,5.23,,,1.63,1.39,,,,2.12,723000000.0,7065000000.0,41.53,62.58,12.2,,,,,
Albania,2017,14.56,42.86,19.02,22.34,4813.0,105.84,99.81,103.88,28.79,7889.03,27400.0,100.97,3.07,1167112.0,40.62,28750.0,99.9,4.06,,,,,,9.3,-0.09,,,2873457.0,0.4,1.5,106.45,,36.9,1.0,1706345.0,59.38,0.19,76.34,-982237928.3,18.49,31.57,75.1,9801454504.0,13019726212.0,3.8,12800.0,36782961161.0,130230000.0,16.53,46.62,20.36,1.99,4.88,1.29,58.59,168350006.1,0.35,20.22,52.72,86490000.0,11.14,3588583657.0,,,3.61,34.18,7.98,13.79,112.06,111.02,42.87,1377319.0,99.05,98.57,98.82,99.53,98.59,99.02,93.26,91.64,17.44,68.16,98.47,98.58,17.94,0.76,1.07,83.82,105.41,95.54,1.03,97.57,86.67,58.02,,13.62,,2.64,,,18.56,100.0,,,9361.55,26.9,1904.0,118270.0,10.48,8.51,,284600000.0,,125.92,,,443.02,46.72,10.87,,,,,8.15,,1.49,2.84,99.0,96.0,20.0,,81.5,76.87,79.05,7.0,11.4,-9768.0,,14.4,49.88,,0.1,28.4,16.4,0.5,11.3,4.2,1.6,8.9,4.7,,,,,,,,2.01,1.11,1.19,2.78,,-1.6,27.86,8.0,37.3,,,,49.61,66.57,53.63,54.51,,0.82,0.09,1118611.0,24.06,49.47,,,,3.56,2292000000.0,5271000000.0,58.09,29.97,17.04,,,,,
Algeria,2017,3.16,17.36,11.03,3.14,990.3,104.4,20.84,102.87,0.82,19430.0,2381741.0,100.15,0.43,11496842.0,27.95,2381741.0,99.5,87.15,,,,,,24.5,1.96,6.46,,41136546.0,,,102.32,,0.1,,29639704.0,72.05,21.9,,-22067518024.0,,20.33,3.41,5706818289.0,190000000000.0,1.5,13520.0,556000000000.0,110100000.0,39.51,29.49,33.48,5.59,2.69,0.09,4.25,174649993.9,0.34,,2.0,155910000.0,0.6,105000000000.0,,,5.73,,,,101.22,102.64,19.6,12069182.0,,,,,,,97.25,95.33,29.85,64.65,98.38,100.0,24.23,3.86,7.3,,109.84,97.59,0.95,,,49.38,,12.0,,5.01,,,24.75,100.0,,,273.41,11.25,74714.0,1725198.0,7.7,9.84,,,,111.45,,4016.25,63.71,54.68,24.76,,,,,4.54,,3.05,1.63,91.0,88.0,70.0,,76.82,74.7,75.74,89.0,21.0,-36448.0,,5.5,49.04,,0.1,34.0,,,,2.6,,18.2,29.9,,,,,,,,1.27,5.92,,,,,25.76,2.0,66.1,,,,16.69,66.08,23.88,27.12,,96.11,0.96,9028313.0,1.05,0.45,,,,3.95,35191000000.0,46059000000.0,42.79,2.33,1.7,,,,,
American Samoa,2017,,13.9,,4.65,,,41.67,,86.1,172.2,200.0,,9.25,6346.0,12.83,200.0,,,,,,,,,-1.97,,,49463.0,,,,,0.3,,43117.0,87.17,,,,,59.15,,,612000000.0,-6.99,,,,,102.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,64.26,,,,,,,,,,,,,,,,,,,6.92,100.0,,,,,,92270.0,,,,,,,,,1111.94,55.63,16.6,,,,,5.1,,,,,,12.0,,,,,,,-1652.0,,5.49,50.06,,,,,,,,,,,,,,,,,,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,397000000.0,595000000.0,162.09,,,,,,,
Andorra,2017,,40.04,0.56,1.74,,,,,34.04,160.0,470.0,,,8750.0,11.85,470.0,100.0,,,,,,,3.2,1.77,,,73837.0,,,65.82,,18.0,,65087.0,88.15,,,,,,,,3000162081.0,0.35,,,,,,10.4,,,,,,0.77,,,,,,158.0,187.0,3.22,12.72,13.56,23.66,,,,,,,,,,,,,14.7,72.12,,,10.5,1.02,0.95,,89.37,,,94.37,,15.44,100.0,,,2.12,,,10.02,17.82,,,4274.28,0.32,,,46.48,52.1,,,,108.8,,,3561.9,38.66,,100.0,100.0,,,,,,,99.0,99.0,1.6,,,,,,,887.0,,13.18,49.37,,,13.4,,,,,,,,,,,,,,,,,,,,,32.14,,,,,,,,,,,0.01,23.25,24238350.0,,,,,,,118000000.0,1478000000.0,53.2,,,,,,,
Angola,2017,,36.71,10.02,4.29,809.0,104.58,9.77,105.13,54.76,682725.7,1246700.0,107.46,0.25,10621656.0,35.16,1246700.0,42.9,0.48,,,,,,80.4,3.55,24.88,,30208628.0,,,,,52.5,,19586972.0,64.84,-3.92,,-632867147.9,16.67,29.0,84.94,58745881699.0,73690154991.0,-0.15,6570.0,198000000000.0,174180000.0,23.1,23.25,42.17,29.84,3.56,0.32,7.39,223139999.4,0.35,16.36,21.24,26710000.0,25.43,17455327771.0,,,2.47,,,,,,49.86,12415650.0,,,,,,,,,45.64,51.81,,,,,,,122.24,,0.93,,,9.66,,16.62,,2.65,,,23.96,100.0,,,4899.26,148.0,13494.0,683548.0,0.32,0.53,112000000.0,,,44.11,,,10.66,93.01,40.81,,,,,8.24,,5.6,,56.0,42.0,359.0,,64.02,59.33,61.68,253.0,25.5,77733.0,,2.55,50.63,,1.7,62.1,,,,14.7,,36.6,41.7,,,,,,,,,2.51,13.64,20.42,,-6.78,30.45,1.0,49.1,,,,73.46,77.87,70.58,48.5,,94.69,19.38,90114520.0,4.3,2.48,,,,24.73,34613000000.0,14463000000.0,66.6,6.17,3.71,,,,,
Antigua and Barbuda,2017,,20.45,1.66,9.09,2030.7,89.69,5.26,93.31,18.91,83.2,440.0,103.0,2.27,68601.0,75.29,440.0,100.0,8.46,,,,,,10.6,0.61,,,91119.0,,,107.81,,0.4,0.98,22518.0,24.71,,,-118135621.7,,64.57,,,1531151852.0,2.46,20160.0,1837175017.0,10490000.0,,63.4,18.85,2.43,,0.71,113.04,10300000.19,0.79,,,880000.0,,313645370.8,,,2.37,,,,95.05,96.88,,,,,,,,,,,20.19,71.05,98.55,100.0,12.06,1.42,2.15,72.65,109.16,94.19,0.98,116.53,87.74,,55.15,,,4.47,,,19.02,100.0,,,570.68,0.05,24019.0,17311.0,9.95,26.5,,,,201.93,,,932.85,40.74,11.79,100.0,,,,5.75,,1.49,3.24,95.0,99.0,1.3,,80.72,75.52,78.27,21.0,0.0,0.0,,8.76,52.3,,,17.4,,,,,,,,,,,,,,,21.95,,,,,,11.11,5.0,41.9,,,,,,,,,0.0,0.38,3183.0,10.92,82.94,,,,,21000000.0,554000000.0,37.55,,,,,,,
Argentina,2017,,42.99,5.23,14.76,5404.6,106.82,41.07,105.91,10.56,288990.0,2736690.0,102.98,0.37,3634137.0,8.25,2780400.0,100.0,12.91,,,,,,11.0,1.04,43.13,,44044811.0,0.6,,101.58,,10.4,1.02,40410674.0,91.75,5.52,,-31151351751.0,18.37,11.32,36.02,226000000000.0,644000000000.0,2.82,22910.0,1010000000000.0,30140000.0,13.07,13.97,21.78,,27.29,0.0,-0.03,-1169999.96,0.62,10.76,100.35,45930000.0,51.73,55314409205.0,,,5.45,14.98,20.62,16.91,106.04,106.36,41.44,19580710.0,,,,,,,94.47,93.96,24.41,64.26,,,,3.15,3.45,76.08,111.68,99.18,1.0,110.41,90.8,89.23,,8.35,,3.32,,,13.97,93.85,,,6629.61,292.0,146631.0,1809153.0,17.71,22.0,1826100000.0,,,140.5,,17609.0,1628.59,55.61,16.21,93.9,,,,7.69,,2.17,5.02,86.0,89.0,27.0,,80.09,73.53,76.83,38.0,14.0,4926.0,,11.33,50.5,,0.4,18.5,,,,3.3,,2.9,6.1,,,,,,,,5.26,0.86,0.91,7.76,,-6.85,38.13,2.0,106.0,,,,47.69,70.44,19.23,22.67,,2.79,9.21,1487363816.0,15.88,7.86,,,,45.42,58644000000.0,66937000000.0,19.51,0.82,0.36,57.8,8.0,,,
Armenia,2017,9.23,58.87,14.99,15.67,1975.1,87.87,202.55,95.24,11.56,3291.0,28470.0,106.9,2.04,1052274.0,36.9,29740.0,99.7,41.77,,,,,,13.1,-0.49,37.77,,2851923.0,0.8,,102.76,,12.6,,1799649.0,63.1,3.42,,-145329440.9,22.63,38.22,85.71,10228295739.0,11527458709.0,7.5,13050.0,37214214838.0,93460000.0,17.18,48.99,25.81,0.97,4.63,2.16,90.3,257540008.5,0.32,22.53,38.4,38470000.0,26.41,2314113951.0,,,2.71,10.15,,9.88,96.51,95.89,50.94,1408448.0,100.0,100.0,100.0,100.0,100.0,100.0,93.61,95.17,20.07,68.68,98.79,97.81,,0.29,0.23,37.21,101.62,91.95,1.0,,,53.59,,12.97,,3.86,,,34.02,100.0,,,2405.04,6.86,,,10.82,17.2,,,,122.32,,685.66,280.16,45.59,13.61,,,,,9.66,,1.56,4.37,94.0,96.0,36.0,,79.38,69.92,74.91,25.0,16.4,-26326.0,,11.25,54.59,,0.2,19.1,,,,2.5,,34.9,9.8,86.66,,,,,,,2.45,3.85,0.95,5.01,,-4.06,18.1,6.0,18.5,,,,55.77,69.58,66.53,59.2,,3.58,7.56,28282166.0,21.54,27.75,,,,13.25,2245000000.0,4189000000.0,55.81,0.22,0.3,,,,,
Aruba,2017,,11.11,0.02,11.11,,,2.49,,2.33,4.2,180.0,,,59791.0,56.71,180.0,100.0,,,,,,,,0.54,,,105439.0,,,,,6.8,,45648.0,43.29,,,34628879.79,,72.55,,,3092429050.0,7.05,36560.0,3855139713.0,,14.31,71.26,12.39,-1.03,,,,,0.76,,,,,907111452.5,,,4.46,,,,,,,,,,,,,,,,18.33,68.68,,,,,,,,,,,,,,,,3.1,,,,,,,,,2132.0,31689.0,,,,,,,,,976.87,45.6,11.53,,,,,8.41,,1.84,,,,8.7,,78.79,72.84,75.9,,,218.0,,12.98,52.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,6.62,2004844.0,17.12,80.45,,,,,135000000.0,1124000000.0,40.71,,,,,,,
