Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide",Arable land (% of land area),"Contributing family workers, female (% of female employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Exports of goods and services (% of GDP),Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Fuel exports (% of merchandise exports),GDP (current US$),"GNI per capita, PPP (current international $)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Prevalence of HIV, total (% of population ages 15-49)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",Gender Ratio Class
94.1,10.89,14225.0,9.1,8.24,105.87,4.22,39.37,191.12,4.1,4.52,108.7,0.01,28144331507.0,5690.0,18.27,1.45,21992491.0,81.0,64.01,25.82,49.4,75.29,39.43,4452659.0,111890.0,114.8,43.95,7.16,89.94,1.54,73.56,16.6,2.4,0.665,4.69,-4.13,-5779.0,617309997.6,5.36,1.54,14.45,49.5,0.2,0.44,97.09,27.34,45.9,8.55,13.9,4215972.0,99.91,95.23,55.27,113.54,33130000.0,14.9,7.94,6062373.0,47.88,1
100.0,5.31,7647.37,13.0,1.85,94.11,2.87,34.89,110.08,14.82,2.71,94.83,0.06,5254366312.0,17110.0,22.195,2.01,10421.0,97.0,42.61,9.19,40.67,76.17,44.875,251908.0,300.0,99.44,0.32,2.63,54.39,1.495,135.4,6.0,2.36,0.665,4.69,-4.13,1189.0,112410003.7,3.33,1.36,21.72,50.355000000000004,0.1,0.53,97.09,4.6,1.4,8.55,13.9,307128.0,99.91,95.23,55.27,1229.25,6200000.0,14.025,5.02,214329.0,32.28,1
100.0,8.79,11210.0,22.18,15.43,117.02,1.67,16.92,153.94,10.54,12.6,119.22,1.93,88609332762.0,13990.0,33.0,1.05,94328328.0,97.0,24.31,29.95,32.54,71.74,33.5,8694780.0,61860.0,128.88,10.04,9.02,37.4,1.89,141.29,6.7,0.18,0.665,4.69,-4.13,-563.5,154110000.6,1.63,1.08,21.72,51.82,0.1,0.28,98.56,5.38,48.8,8.55,13.9,17977378.0,96.87,91.01,55.27,482.49,59050000.0,14.025,5.26,4178622.0,39.95,1
100.0,6.56,15844.0,1.75,13.98,101.06,6.57,15.57,1.07,0.69,0.53,99.82,3.38,9838711529.0,1460.0,22.195,5.99,95210004.0,89.0,66.51,24.14,52.455,69.39500000000001,31.37,3038348.0,627340.0,99.67,30.3,22.42,57.73,1.495,51.82,15.4,3.265,0.665,4.69,-4.13,-17071.0,480160003.65,0.05,3.15,13.99,49.87,0.4,0.39,97.09,24.36,95.4,8.55,13.9,9090664.0,99.91,95.23,55.27,5.33,85430000.0,14.025,6.035,7974917.0,60.22,1
100.0,9.1,1929.0,1.61,3.42,104.78,6.72,52.84,9.75,0.26,12.4,105.06,3.38,14825690210.0,6070.0,38.85,6.54,38829158.0,68.0,32.71,42.89,66.76,68.12,49.9,2306220.0,341500.0,105.77,47.46,2.42,65.71,2.48,96.79,43.2,1.43,0.665,4.69,-4.13,-4466.0,204020004.3,0.37,2.32,21.72,50.06,0.4,0.4,97.09,11.26,71.4,8.55,13.9,1850943.0,99.91,95.23,55.27,10.28,27880000.0,14.025,6.035,3984863.0,88.17,1
100.0,23.36,74453.15,40.48,10.16,118.31,6.57,34.89,18.61,0.03,0.05,117.33,3.38,441000000000.0,5510.0,22.195,6.49,195947207.0,60.0,42.61,31.41,51.73,65.35,43.81,4154629.0,910770.0,111.54,65.14,33.44,22.4,1.01,91.44,15.4,0.82,0.665,4.69,-4.13,-563.5,480160003.65,7.25,2.41,16.85,49.47,0.4,0.37,97.09,3.61,80.3,8.55,13.9,1735323.5,99.91,95.23,55.27,63.03,62150000.0,15.01,5.39,4022829.0,85.53,1
72.5,22.79,20653.34,16.84,3.5999999999999996,98.9,4.17,34.89,38.66,1.67,0.98,80.46,3.38,66345291160.0,5060.0,22.195,5.07,305581286.0,89.0,42.61,37.31,41.06,69.74,37.74,4154629.0,652670.0,105.97,30.3,22.42,44.44,1.495,126.27,41.5,2.31,0.665,4.69,-4.13,-563.5,480160003.65,2.31,0.7,21.72,50.22,0.9,0.24,97.09,15.29,62.9,8.55,13.9,1735323.5,99.91,95.23,55.27,12.57,105700000.0,14.025,4.34,16918421.0,63.91,1
86.3,19.66,13321.0,20.7,11.46,131.73,2.88,30.06,37.37,0.35,0.97,130.54,3.38,79524421861.0,6340.0,15.59,0.73,8559644.0,94.0,32.65,28.41,64.85,71.77,48.03,14064388.0,227533.0,116.02,10.56,10.84,35.66,0.38,123.21,43.8,1.61,0.665,4.69,-4.13,-11253.0,480160003.65,1.63,2.01,18.42,50.12,0.4,0.37,97.09,14.55,39.0,5.0,13.9,13794798.0,97.9,75.31,55.27,49.52,62150000.0,14.38,3.34,19038233.0,77.87,1
100.0,12.6,15844.0,21.65,18.52,109.24,3.85,34.89,92.2,19.54,3.16,112.81,0.98,366000000000.0,11600.0,32.6,5.99,95210004.0,89.0,42.61,37.39,68.25,77.85,48.25,4154629.0,313429.0,131.19,58.32,39.93,57.73,1.495,138.87,20.6,0.15,0.665,4.69,-4.13,-992.0,526520019.5,1.63,0.84,18.38,50.61,0.3,0.31,97.09,30.26,24.2,8.55,13.9,1735323.5,99.91,96.07,38.87,3904.47,62150000.0,14.025,2.39,4022829.0,57.62,1
82.9,8.1,811.0,10.29,2.28,105.66,3.91,44.05,57.77,2.55,3.32,104.57,1.18,4850842541.0,9440.0,19.73,0.33,4198951.0,80.0,44.9,32.55,47.21,53.88,47.37,391180.0,17200.0,100.3,17.63,2.23,86.4,1.78,120.05,51.6,2.79,0.665,4.69,-4.59,-4897.0,125029998.8,1.05,0.98,21.72,50.36,0.4,0.4,97.09,9.59,65.4,8.55,13.9,901726.0,99.91,95.23,55.27,88.91,5190000.0,14.025,6.035,290545.0,40.73,1
