Country Name,Year,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural population,Rural population (% of total population),Surface area (sq. km),Access to electricity (% of population),"Annual freshwater withdrawals, total (% of internal resources)",CPIA public sector management and institutions cluster average (1=low to 6=high),Ease of doing business rank (1=most business-friendly regulations),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Land area where elevation is below 5 meters (% of total land area),"Mortality rate, under-5 (per 1,000 live births)",Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),Population living in areas where elevation is below 5 meters (% of total population),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Urban population,Urban population (% of total population),"Adjusted net savings, including particulate emission damage (% of GNI)","Central government debt, total (% of GDP)","Current account balance (BoP, current US$)",Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)",GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Medium and high-tech manufacturing value added (% manufacturing value added),Net ODA received (% of GNI),Net ODA received per capita (current US$),Net official development assistance received (current US$),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Revenue, excluding grants (% of GDP)",Short-term debt (% of total reserves),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)","Children out of school, primary, female","Children out of school, primary, male","Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Gross intake ratio in first grade of primary education, female (% of relevant age group)","Gross intake ratio in first grade of primary education, male (% of relevant age group)","Labor force, female (% of total labor force)","Labor force, total","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Persistence to last grade of primary, female (% of cohort)","Persistence to last grade of primary, male (% of cohort)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),"Progression to secondary school, female (%)","Progression to secondary school, male (%)","Pupil-teacher ratio, primary","Repeaters, primary, female (% of female enrollment)","Repeaters, primary, male (% of male enrollment)","School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% net)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","School enrollment, secondary (% net)","School enrollment, tertiary (% gross)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Bird species, threatened",Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Fish species, threatened","Mammal species, threatened","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Plant species (higher), threatened",Population living in slums (% of urban population),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)","Air transport, registered carrier departures worldwide",Container port traffic (TEU: 20 foot equivalent units),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Investment in energy with private participation (current US$),Investment in transport with private participation (current US$),Investment in water and sanitation with private participation (current US$),Mobile cellular subscriptions (per 100 people),Public private partnerships investment in ICT (current US$),Rail lines (total route-km),Secure Internet servers (per 1 million people),Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),Completeness of birth registration (%),Completeness of death registration with cause-of-death information (%),"Contraceptive prevalence, any method (% of married women ages 15-49)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Fertility rate, total (births per woman)","Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","International migrant stock, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality caused by road traffic injury (per 100,000 population)",Net migration,"Number of surgical procedures (per 100,000 population)",Population ages 65 and above (% of total population),"Population, female (% of total population)",Pregnant women receiving prenatal care (%),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of anemia among children (% of children ages 6-59 months),"Prevalence of overweight, weight for height (% of children under 5)","Prevalence of severe wasting, weight for height (% of children under 5)","Prevalence of stunting, height for age (% of children under 5)",Prevalence of undernourishment (% of population),"Prevalence of wasting, weight for height (% of children under 5)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),"Specialist surgical workforce (per 100,000 population)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Unmet need for contraception (% of married women ages 15-49),CPIA economic management cluster average (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),IDA resource allocation index (1=low to 6=high),"Intentional homicides (per 100,000 people)",Military expenditure (% of GDP),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net investment in nonfinancial assets (% of GDP),Net lending (+) / net borrowing (-) (% of GDP),Proportion of seats held by women in national parliaments (%),Strength of legal rights index (0=weak to 12=strong),Total tax and contribution rate (% of profit),"Children in employment, female (% of female children ages 7-14)","Children in employment, male (% of male children ages 7-14)","Children in employment, total (% of children ages 7-14)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Energy imports, net (% of energy use)",Fuel exports (% of merchandise exports),High-technology exports (% of manufactured exports),High-technology exports (current US$),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)","Lead time to export, median case (days)","Lead time to import, median case (days)",Logistics performance index: Overall (1=low to 5=high),Medium and high-tech exports (% manufactured exports),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",Gender Ratio Class
Afghanistan,2021,6.51,58.74,33.6,12.0,2099.0,125.67,5.2,114.32,1.85,12084.4,652230.0,96.07,0.34,29547690.0,73.69,652860.0,97.7,43.02,,,,,,59.6,2.85,10.81,,40099462.0,,,,,20.0,,10551772.0,26.31,,,,,14.34,24.77,3555784340.0,14266499430.0,-20.74,2150.0,86285361407.0,4329130000.0,,37.07,14.27,,8.46,32.68,116.97,4690520020.0,0.17,,,244120000.0,,,,,,,,,,,17.93,9356574.0,23.0,52.0,37.0,42.0,71.0,56.0,,,43.42,54.17,,,,,,,,,,,,,,11.93,,2.94,,,,,,,,47.15,2865.74,,0.07,0.36,,,,56.55,,,39.03,84.6,35.84,,,,,7.34,10.9,4.64,0.36,66.0,63.0,185.0,,65.28,58.92,61.98,,,-183672.0,,2.4,49.49,,0.1,,,,,30.1,,,,,,,,,,,4.02,1.83,,,,,27.02,,,,,,14.79,67.7,90.84,78.62,,,,,,,,,,0.34,850000000.0,5308000000.0,43.16,60.87,12.79,,,,,,1
Albania,2021,16.54,41.47,18.36,21.89,5144.7,114.68,,104.92,28.79,7889.0,27400.0,91.79,3.2,1041188.0,37.03,28750.0,100.0,2.96,,,,,,9.5,-0.93,,,2811666.0,,,97.22,,41.9,1.03,1770478.0,62.97,3.07,82.11,-1369694859.0,18.92,31.31,62.52,11054877742.0,17930565119.0,8.91,16040.0,45086289512.0,264120000.0,17.15,44.71,20.75,2.04,6.31,3.58,225.28,633419982.9,0.39,19.3,16.99,104100000.0,14.54,5634561134.0,7186.0,3695.0,3.02,,,,,,44.31,1382433.0,,,,,,,91.89,91.17,16.28,67.48,,,,,,69.23,97.11,,1.02,97.67,,59.97,61.77,12.47,,2.27,,,,,,,,26.9,1471.0,,19.63,6.94,,124800000.0,,92.32,,,988.03,48.18,10.24,,,,,11.33,10.2,1.39,,98.0,87.0,15.0,,79.17,74.09,76.46,,,-10612.0,2000.9,16.23,50.05,,0.1,,,,,4.1,,5.2,3.8,,,,,,,,2.31,1.22,4.42,8.59,,-4.21,35.71,,,,,,51.79,65.74,50.01,50.66,,0.02,0.42,6384226.0,,,,,,8.41,3559000000.0,7718000000.0,62.89,27.58,15.96,,,,,,1
Algeria,2021,,17.35,11.23,3.16,1433.7,108.76,20.68,104.83,0.82,19583.33,2381741.0,97.32,0.41,11370967.0,25.74,2381741.0,99.8,87.15,,,,,,22.3,1.66,6.36,,44177969.0,,,99.75,,0.1,,32807002.0,74.26,15.4,,-4509654274.0,,23.88,4.6,7378779147.0,186000000000.0,3.8,14400.0,636000000000.0,112600000.0,38.67,23.39,36.32,7.23,2.69,0.12,4.85,214449996.9,0.29,,2.84,163120000.0,0.45,56211005199.0,,,5.51,,,,,,19.73,12202063.0,,,,,,,93.46,91.92,30.71,63.11,,,,,,,107.0,,,,,54.21,98.15,13.61,,5.61,,,,,,,,11.25,27650.0,,9.33,11.4,,,,106.42,,4000.5,62.93,58.46,21.52,,,,,4.55,7.1,2.89,,81.0,79.0,54.0,,77.96,74.88,76.38,,,-18797.0,,6.18,49.08,,0.1,,,,,2.5,,11.0,29.6,,,,,,,,1.57,5.59,,,,,8.11,,,,,,16.0,62.92,24.18,27.86,,,,,,,,,,3.95,38637000000.0,37466000000.0,40.86,2.1,1.61,,,,,,1
American Samoa,2021,,14.5,,4.85,,,,,85.5,171.0,200.0,,9.65,5778.0,12.83,200.0,,,,,,,,,-2.53,,,45035.0,,,,,0.4,,39257.0,87.17,,,,,44.27,,,750000000.0,-0.78,,,,,92.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.51,65.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,466.3,52.34,,,,,,,20.3,,,,,5.5,,,,,,,-1646.0,,6.84,50.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000000.0,884000000.0,159.2,,,,,,,,
Andorra,2021,,39.91,0.53,1.59,,,,,34.04,160.0,470.0,,0.02,9596.0,12.14,470.0,100.0,,,,,,,2.8,1.7,,,79034.0,,,62.07,,18.4,,69438.0,87.86,,,467435297.1,,,,,3324683012.0,8.29,63290.0,5001856285.0,,,,12.37,,,,,,0.72,,,,,,208.0,164.0,2.58,,,,,,,,,,,,,,,,13.07,72.39,,,,,,,88.88,,,97.33,,15.2,100.0,,,1.89,,,,,,,,0.32,,,50.28,63.5,,,,118.67,,,11185.06,38.14,,,,,,,9.7,,,99.0,99.0,2.9,,,,,,,1377.0,,14.54,48.93,,,,,,,,,,,,,,,,,,,,,,,,46.43,,,,,,,,,,,0.03,24.38,36063879.0,,,,,,,164000000.0,1563000000.0,51.94,,,,,,,,
Angola,2021,,36.81,11.49,4.31,1000.1,116.22,5.61,117.5,52.98,660523.13,1246700.0,122.72,0.25,11227528.0,32.54,1246700.0,48.2,0.48,,,,,,69.1,3.17,25.02,,34503774.0,,,59.62,,52.9,,23276246.0,67.46,13.4,,8399451649.0,,47.75,108.25,66086652745.0,66505129988.0,1.2,6810.0,235000000000.0,227290000.0,38.29,26.72,47.52,25.75,3.37,0.4,7.16,247160003.7,0.26,,32.07,50070000.0,29.16,14468113826.0,,,2.3,,,,,,50.14,14445598.0,,,,,,,,,45.18,52.23,,,,,,,88.83,,,52.54,,,93.28,15.8,,3.1,,,,,,,,148.0,3805.0,604987.0,0.39,0.35,,190000000.0,,44.42,,,26.2,91.47,38.81,,,,,8.01,4.6,5.3,,45.0,36.0,322.0,,64.31,59.03,61.64,,,29089.0,,2.59,50.58,,1.5,,,,,21.6,,54.4,55.7,,,,,,,,,1.29,,,,,29.55,,,,,,74.69,78.13,70.64,50.34,,94.16,16.13,43596708.0,,,,,,12.2,34472000000.0,11379000000.0,68.94,5.59,3.34,,,,,,5
Antigua and Barbuda,2021,,20.45,2.08,9.09,2094.1,81.79,8.33,80.94,18.3,80.53,440.0,79.48,2.27,70492.0,75.62,440.0,100.0,8.46,,,,,,9.8,0.6,,,93219.0,,,,,0.9,,22727.0,24.38,,,-287547921.7,,46.98,,,1601366667.0,8.19,24620.0,2294796016.0,5410000.0,,54.14,20.49,2.06,,0.4,65.87,6139999.87,0.67,,,530000.0,,367511735.7,,,2.57,,,,,,,,,,,,,,,,18.82,70.99,,,,,,,,,,,,,,,,4.83,,,,,,,,0.05,2105.0,,8.66,29.2,,,,197.38,,,793.83,40.87,12.12,,,,,6.37,11.7,1.58,,92.0,85.0,4.9,,80.94,75.78,78.5,,,0.0,,10.19,52.25,,,,,,,,,,,,,,,,,,17.16,,,,,,11.11,,,,,,,,,,,0.0,0.0,0.0,,,,,,,19000000.0,596000000.0,38.4,,,,,,,,
Argentina,2021,,43.1,7.31,15.42,5193.0,107.19,62.18,108.4,10.4,284636.67,2736690.0,111.03,0.39,3559798.0,7.77,2780400.0,100.0,12.91,,,,,,9.7,0.95,42.76,,45808747.0,0.9,,105.48,,9.2,,42248949.0,92.23,11.61,,6624785192.0,17.23,18.0,51.52,246000000000.0,488000000000.0,10.72,25560.0,1170000000000.0,60920000.0,19.54,14.93,23.92,,28.59,0.03,3.39,155259994.5,0.41,10.75,110.9,31000000.0,28.81,39653498611.0,,,4.64,,,,,,42.53,21191985.0,,,,,,,95.28,96.01,23.36,64.82,,,,,,,110.16,,,116.56,,107.13,,8.74,,3.39,,,,,,,,292.0,54218.0,1798923.0,23.15,16.8,,,,130.46,,,5060.91,54.27,13.9,,,,,8.96,5.4,1.89,3.34,81.0,86.0,29.0,,78.65,72.18,75.39,,,2344.0,,11.82,50.49,,0.4,,,,,3.2,,5.0,8.6,,,,,,,,4.62,0.63,-1.86,3.35,,-5.2,44.75,,,,,,50.28,70.87,22.68,24.99,,2.64,4.42,466425814.0,,,,,,42.34,77935000000.0,63185000000.0,28.92,0.85,0.31,,,,,,4
Armenia,2021,9.31,58.83,11.34,15.57,1287.2,71.89,203.73,84.82,11.53,3282.6,28470.0,105.3,2.12,1020631.0,36.57,29740.0,100.0,43.26,,,,,,10.8,-0.52,39.03,,2790974.0,0.5,,100.63,,9.1,1.02,1770343.0,63.43,0.91,60.08,-482982405.9,24.97,35.91,102.44,13801512363.0,13878908629.0,5.8,16400.0,45783936976.0,130910000.0,19.61,43.76,26.36,7.18,8.31,1.2,58.03,161949996.9,0.29,23.39,47.18,59740000.0,37.34,3229848045.0,7192.0,6108.0,2.77,,,,,,52.76,1393091.0,,,,,,,98.01,97.07,20.42,66.83,,,,,,28.78,93.81,,1.01,97.3,,58.76,73.85,10.01,,3.91,,,,,,,,6.86,1598.0,,16.26,14.6,53010000.0,,,128.96,,698.4,756.73,49.63,12.05,,,,,13.01,5.6,1.58,,93.0,94.0,25.0,,77.35,66.55,72.04,,,-12825.0,,12.75,54.98,,0.3,,,,,2.5,,21.6,3.9,,,,,,,,2.19,4.47,4.02,8.45,,-4.43,33.64,,,,,,58.16,68.75,66.85,56.03,,1.84,5.96,37562644.0,,,,,,16.17,3023000000.0,5357000000.0,60.38,0.04,0.18,,,,,,5
Aruba,2021,,11.11,,11.11,,,3.86,,2.33,4.2,180.0,,,59803.0,56.13,180.0,100.0,,,,,,,,-0.05,,,106537.0,,,100.94,,8.8,,46734.0,43.87,,,79257066.71,,69.07,,,3103184102.0,27.64,37070.0,3949220211.0,,13.46,70.83,,,,,,,0.76,,,,,1512960280.0,,,,,,,,,,,,,,,,,,,16.8,67.66,,,,,,,111.72,,,124.24,,,,,,3.13,,,,,,,,,,57062.0,17.66,32.5,,,,132.35,,,1661.39,47.81,7.19,,,,,11.24,4.3,1.18,,,,6.5,,77.32,71.8,74.63,,,501.0,,15.54,52.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,4.82,1171746.0,,,,,,,123000000.0,1064000000.0,38.25,,,,,,,,
