Access to electricity (% of population),"Adjusted net savings, including particulate emission damage (% of GNI)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide","Annual freshwater withdrawals, total (% of internal resources)",Arable land (% of land area),"Birth rate, crude (per 1,000 people)",Cereal yield (kg per hectare),"Children out of school, primary, female","Children out of school, primary, male",Container port traffic (TEU: 20 foot equivalent units),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),"Current account balance (BoP, current US$)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)",Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Fuel exports (% of merchandise exports),GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Government expenditure on education, total (% of GDP)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Incidence of tuberculosis (per 100,000 people)","Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net ODA received per capita (current US$),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Population, total","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Renewable internal freshwater resources, total (billion cubic meters)","Revenue, excluding grants (% of GDP)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),Short-term debt (% of total reserves),Surface area (sq. km),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
97.7,8.385,84.6,58.74,6.56,2865.74,43.02,12.0,35.84,2099.0,11816.0,12074.0,1619953.5,3.5999999999999996,12.79,125.67,-319279309.5,7.34,10.9,2.94,24.83,14.34,51.52,3555784340.0,4.64,5.2,0.07,0.36,114.32,1.85,12084.4,3.38,14266499430.0,5.15,2150.0,86285361407.0,4.255,258655000.0,22.195,5.99,95210004.0,66.0,63.0,37.07,185.0,14.27,3.4450000000000003,2.455,52.455,67.7,44.875,9356574.0,652230.0,65.28,58.92,61.98,96.07,0.34,8.46,850000000.0,5308000000.0,43.16,1.83,56.55,59.6,3.265,116.97,0.665,4.69,-4.13,-563.5,480160003.65,0.34,43.42,54.17,2.4,2.85,21.72,49.49,40099462.0,0.1,5.2,0.17,97.09,27.02,20.0,47.15,20.955,8.55,13.9,1735323.5,73.69,99.91,95.23,55.27,39.03,22.02,652860.0,62150000.0,14.025,8424740406.0,94.645,11.93,10551772.0,26.31,90.84,78.62
100.0,8.385,48.18,41.47,18.36,1471.0,2.96,21.89,10.24,5144.7,11816.0,12074.0,1619953.5,27.58,1.81,114.68,-1369694859.0,11.33,10.2,2.27,24.83,31.31,62.52,11054877742.0,1.39,92.2,19.63,6.94,104.92,28.79,7889.0,0.02,17930565119.0,8.91,16040.0,45086289512.0,3.02,264120000.0,17.15,0.42,6384226.0,98.0,87.0,44.71,15.0,20.75,2.04,2.455,51.79,65.74,44.31,1382433.0,27400.0,79.17,74.09,76.46,91.79,8.41,6.31,3559000000.0,7718000000.0,62.89,1.22,92.32,9.5,3.58,60.85,0.665,4.69,-4.21,-10612.0,633419982.9,3.2,16.28,67.48,16.23,-0.93,21.72,50.05,2811666.0,0.1,4.1,0.39,97.22,35.71,41.9,26.9,19.3,5.2,13.9,1041188.0,37.03,97.11,97.67,59.97,988.03,22.02,28750.0,104100000.0,14.54,5634561134.0,94.645,12.47,1770478.0,62.97,50.01,50.66
99.8,8.385,58.46,17.35,11.23,27650.0,9.245000000000001,3.16,21.52,1433.7,11816.0,12074.0,1619953.5,2.1,1.61,108.76,-4509654274.0,4.55,7.1,5.61,24.83,23.88,51.52,7378779147.0,2.89,20.68,9.33,11.4,104.83,0.82,19583.33,3.38,186000000000.0,3.8,14400.0,636000000000.0,5.51,112600000.0,38.67,5.99,95210004.0,81.0,79.0,23.39,54.0,36.32,7.23,2.455,52.455,62.92,44.875,12202063.0,91605.6,77.96,74.88,76.38,97.32,3.95,2.69,38637000000.0,37466000000.0,40.86,1.495,106.42,22.3,0.12,4.85,0.665,4.69,-4.13,-18797.0,214449996.9,0.41,30.71,63.11,6.18,1.66,21.72,49.08,44177969.0,0.1,2.5,0.29,99.75,8.11,0.1,11.25,20.955,11.0,13.9,11370967.0,25.74,107.0,95.23,54.21,62.93,22.02,100430.0,62150000.0,14.025,56211005199.0,94.645,13.61,4022829.0,74.26,24.18,27.86
100.0,8.385,52.34,14.5,6.56,15844.0,9.245000000000001,4.85,15.145,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,-319279309.5,8.129999999999999,7.4,3.99,24.83,44.27,51.52,13759708513.0,2.03,92.2,11.86,20.3,105.58000000000001,85.5,171.0,3.38,750000000.0,-0.78,16040.0,70041413822.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,42.61,5.5,24.14,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,200.0,75.7,69.56,72.54,105.97,30.3,22.42,310000000.0,884000000.0,57.73,1.495,111.96,15.4,3.265,60.85,0.665,4.69,-4.13,-1646.0,480160003.65,9.65,27.51,65.64,6.84,0.86,21.72,50.51,45035.0,0.4,5.2,0.44,97.09,23.78,0.4,32.15,20.955,8.55,13.9,5778.0,12.83,99.91,95.23,55.27,466.3,22.02,200.0,62150000.0,14.025,8424740406.0,94.645,6.035,39257.0,87.17,29.265,27.884999999999998
100.0,8.385,38.14,39.91,0.53,15844.0,9.245000000000001,1.59,15.145,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,467435297.1,8.129999999999999,9.7,1.89,24.83,34.89,51.52,13759708513.0,2.03,92.2,50.28,12.4,105.58000000000001,34.04,160.0,0.03,3324683012.0,8.29,63290.0,5001856285.0,2.58,258655000.0,22.195,5.99,36063879.0,99.0,99.0,42.61,2.9,12.37,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,470.0,75.7,69.56,72.54,105.97,30.3,22.42,164000000.0,1563000000.0,51.94,1.495,118.67,2.8,3.265,60.85,0.665,4.69,-4.13,1377.0,480160003.65,0.02,13.07,72.39,14.54,1.7,21.72,48.93,79034.0,0.4,5.2,0.72,97.09,46.43,18.4,0.32,20.955,8.55,13.9,9596.0,12.14,88.88,97.33,55.27,11185.06,22.02,470.0,62150000.0,14.025,8424740406.0,94.645,6.035,69438.0,87.86,29.265,27.884999999999998
100.0,8.385,91.47,36.81,11.49,3805.0,0.48,4.31,38.81,1000.1,11816.0,12074.0,1619953.5,5.59,3.34,116.22,-319279309.5,8.01,4.6,3.1,24.83,47.75,51.52,13759708513.0,5.3,5.61,0.39,0.35,117.5,52.98,20515.57,3.38,66505129988.0,1.2,6810.0,235000000000.0,2.3,227290000.0,38.29,16.13,43596708.0,90.0,89.0,26.72,42.0,47.52,3.4450000000000003,2.455,74.69,78.13,50.14,14445598.0,91605.6,64.31,59.03,61.64,122.72,12.2,3.37,34472000000.0,11379000000.0,68.94,1.29,44.42,69.1,0.4,7.16,0.665,4.69,-4.13,-563.5,247160003.7,0.25,45.18,52.23,2.59,3.17,25.02,50.58,34503774.0,0.4,21.6,0.26,97.09,29.55,52.9,148.0,20.955,8.55,13.9,11227528.0,32.54,88.83,95.23,55.27,26.2,22.02,100430.0,50070000.0,14.025,14468113826.0,94.645,15.8,23276246.0,67.46,70.64,50.34
100.0,8.385,40.87,20.45,2.08,2105.0,8.46,9.09,12.12,2094.1,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,81.79,-287547921.7,6.37,11.7,4.83,24.83,46.98,51.52,13759708513.0,1.58,8.33,8.66,29.2,80.94,18.3,80.53,0.0,1601366667.0,8.19,24620.0,2294796016.0,2.57,5410000.0,22.195,0.0,0.0,92.0,85.0,54.14,4.9,20.49,2.06,2.455,52.455,69.39500000000001,44.875,4154629.0,440.0,80.94,75.78,78.5,79.48,30.3,22.42,19000000.0,596000000.0,38.4,1.495,111.96,9.8,0.4,65.87,0.665,4.69,-4.13,0.0,6139999.87,2.27,18.82,70.99,10.19,0.6,21.72,52.25,93219.0,0.4,5.2,0.67,97.09,11.11,0.9,0.05,20.955,8.55,13.9,70492.0,75.62,99.91,95.23,55.27,793.83,22.02,440.0,530000.0,14.025,367511735.7,94.645,6.035,22727.0,24.38,29.265,27.884999999999998
100.0,8.385,54.27,43.1,7.31,54218.0,12.91,15.42,13.9,5193.0,11816.0,12074.0,1619953.5,0.85,0.31,107.19,-319279309.5,8.96,5.4,3.39,24.83,18.0,51.52,13759708513.0,1.89,62.18,23.15,16.8,108.4,10.4,20515.57,2.64,28144331507.0,10.72,25560.0,70041413822.0,4.64,60920000.0,19.54,4.42,466425814.0,81.0,86.0,14.93,29.0,23.92,3.4450000000000003,2.455,50.28,70.87,42.53,21191985.0,91605.6,78.65,72.18,75.39,111.03,42.34,28.59,77935000000.0,63185000000.0,28.92,0.63,130.46,9.7,0.03,3.39,0.665,4.69,-4.13,2344.0,155259994.5,0.39,23.36,64.82,11.82,0.95,21.72,50.49,45808747.0,0.4,3.2,0.41,97.09,44.75,9.2,32.15,20.955,5.0,8.6,3559798.0,7.77,110.16,116.56,55.27,5060.91,22.02,100430.0,31000000.0,14.025,39653498611.0,94.645,8.74,4022829.0,92.23,22.68,24.99
100.0,8.385,49.63,58.83,11.34,1598.0,43.26,15.57,12.05,1287.2,11816.0,12074.0,1619953.5,0.04,0.18,71.89,-482982405.9,13.01,5.6,3.91,24.97,35.91,51.52,13801512363.0,1.58,203.73,16.26,14.6,84.82,11.53,3282.6,1.84,13878908629.0,5.8,16400.0,45783936976.0,2.77,130910000.0,19.61,5.96,37562644.0,93.0,94.0,43.76,25.0,26.36,7.18,2.455,58.16,68.75,52.76,1393091.0,28470.0,77.35,66.55,72.04,105.3,16.17,8.31,3023000000.0,5357000000.0,60.38,1.495,128.96,10.8,1.2,58.03,0.665,4.69,-4.43,-12825.0,161949996.9,2.12,20.42,66.83,12.75,-0.52,21.72,50.355000000000004,2790974.0,0.3,2.5,0.29,100.63,33.64,9.1,6.86,23.39,8.55,13.9,1020631.0,36.57,93.81,97.3,58.76,756.73,22.02,29740.0,59740000.0,14.025,3229848045.0,94.645,10.01,1770343.0,63.43,66.85,56.03
100.0,8.385,47.81,11.11,6.56,15844.0,9.245000000000001,11.11,7.19,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,79257066.71,11.24,4.3,3.13,24.83,69.07,51.52,13759708513.0,1.18,3.86,17.66,32.5,105.58000000000001,2.33,4.2,0.03,3103184102.0,5.15,37070.0,3949220211.0,4.255,258655000.0,13.46,4.82,1171746.0,90.0,89.0,70.83,6.5,24.14,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,180.0,77.32,71.8,74.63,105.97,30.3,22.42,123000000.0,1064000000.0,38.25,1.495,132.35,15.4,3.265,60.85,0.665,4.69,-4.13,501.0,480160003.65,1.63,16.8,67.66,15.54,-0.05,21.72,52.87,106537.0,0.4,5.2,0.76,100.94,23.78,8.8,32.15,20.955,8.55,13.9,59803.0,56.13,99.91,95.23,55.27,1661.39,22.02,180.0,62150000.0,14.025,1512960280.0,94.645,6.035,46734.0,43.87,29.265,27.884999999999998
