"Population, total",Population growth (annual %),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),Urban population (% of total population),Net migration,"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
40099462.0,2.85,43.42,2.4,26.31,-563.5,7.34,61.98,0.1,59.6,99.91,95.23,55.27,11.93
2811666.0,-0.93,16.28,16.23,62.97,-10612.0,11.33,76.46,0.1,9.5,97.11,97.67,59.97,12.47
44177969.0,1.66,30.71,6.18,74.26,-18797.0,4.55,76.38,0.1,22.3,107.0,95.23,54.21,13.61
45035.0,0.86,27.51,6.84,87.17,-1646.0,8.129999999999999,72.54,0.4,15.4,99.91,95.23,55.27,6.035
79034.0,1.7,13.07,14.54,87.86,1377.0,8.129999999999999,72.54,0.4,2.8,88.88,97.33,55.27,6.035
34503774.0,3.17,45.18,2.59,67.46,-563.5,8.01,61.64,0.4,69.1,88.83,95.23,55.27,15.8
93219.0,0.6,18.82,10.19,24.38,0.0,6.37,78.5,0.4,9.8,99.91,95.23,55.27,6.035
45808747.0,0.95,23.36,11.82,92.23,2344.0,8.96,75.39,0.4,9.7,110.16,116.56,55.27,8.74
2790974.0,-0.52,20.42,12.75,63.43,-12825.0,13.01,72.04,0.3,10.8,93.81,97.3,58.76,10.01
106537.0,-0.05,16.8,15.54,43.87,501.0,11.24,74.63,0.4,15.4,99.91,95.23,55.27,6.035
25685412.0,0.14,18.37,16.57,86.36,-563.5,6.7,83.3,0.1,3.8,99.93,95.23,55.27,5.12
8955797.0,0.44,14.39,19.44,59.0,-563.5,10.3,81.19,0.4,3.3,101.64,102.31,55.27,6.46
10137750.0,0.44,23.92,6.72,56.78,1084.0,7.6,69.37,0.1,18.8,97.73,91.43,39.01,6.04
407906.0,0.35,19.62,8.57,83.37,485.0,8.99,71.6,1.0,13.1,93.82,95.23,55.27,11.69
1463265.0,-0.97,20.38,3.49,89.62,-9150.0,2.48,78.76,0.4,6.7,99.91,95.23,70.76,1.55
6719538.0,1.15,26.45,5.83,38.95,-563.5,5.68,72.38,0.1,29.8,99.91,70.29,55.27,5.82
281200.0,0.18,17.16,15.72,31.25,-28.0,9.01,77.57,1.0,11.2,98.15,104.71,55.27,9.42
9302585.0,-0.83,16.84,16.83,79.91,12961.0,8.129999999999999,72.37,0.4,2.7,94.53,95.21,73.96,3.9
11586195.0,0.41,16.69,19.42,98.12,-563.5,9.7,81.79,0.2,3.8,101.82,95.23,55.27,6.26
400031.0,1.29,28.24,4.96,46.2,577.0,6.35,70.47,0.4,11.5,105.28,88.74,55.27,10.16
12996895.0,2.76,42.58,3.08,48.97,1732.0,9.43,59.82,0.8,15.4,110.71,95.23,55.27,1.69
63764.0,-0.2,14.9,19.68,100.0,291.0,11.3,79.28,0.4,15.4,99.91,80.72,55.27,6.035
777486.0,0.64,22.8,6.14,43.01,291.0,6.48,71.82,0.2,24.5,103.03,90.8,55.27,4.8
12079472.0,1.19,31.12,4.91,70.48,-4666.0,9.95,63.63,0.4,24.8,98.86,91.5,55.27,5.09
3270943.0,-1.44,14.92,18.14,49.43,-25865.0,8.129999999999999,75.3,0.4,6.1,99.91,84.97,43.58,14.9
2588423.0,1.64,32.91,3.59,71.56,1816.0,9.46,61.14,0.4,39.9,93.72,70.02,55.27,6.035
6719538.0,0.53,20.54,9.58,87.32,-563.5,8.33,72.75,0.6,14.3,103.47,106.65,56.83,13.16
31122.0,0.68,15.21,9.47,48.92,128.0,7.61,74.49,0.4,13.5,99.91,84.1,32.71,6.035
445373.0,0.82,22.35,5.81,78.55,-192.0,5.21,74.64,0.4,9.8,96.24,89.12,30.22,4.91
6877743.0,-0.81,13.99,22.42,76.03,-8716.0,8.129999999999999,71.46,0.1,6.3,95.61,98.71,55.27,5.27
22100683.0,2.65,44.09,2.55,31.24,-13097.0,8.96,59.27,0.6,15.4,99.91,95.23,55.27,5.11
12551213.0,2.67,46.29,2.48,14.06,-14415.0,7.47,61.66,0.9,52.3,99.91,95.23,55.27,1.11
587925.0,0.9,26.61,5.44,67.1,-1274.0,6.03,74.05,0.9,12.8,96.4,86.49,55.27,13.91
16589023.0,1.17,29.3,5.53,24.67,-24262.0,6.84,69.58,0.5,24.6,108.74,95.23,55.27,0.4
27198628.0,2.64,42.43,2.7,58.15,-9889.0,8.58,60.33,0.4,72.2,108.44,95.23,55.27,3.95
38239864.0,0.55,15.73,18.52,81.65,-563.5,8.2,81.59,0.4,5.0,96.29,109.33,77.8,7.53
68136.0,1.22,16.78,7.82,100.0,276.0,4.0,82.01,0.4,15.4,99.91,101.5,48.18,6.035
17179740.0,3.16,47.66,2.02,23.78,9016.0,12.5,52.53,1.1,15.4,89.42,95.23,55.27,1.51
172683.0,0.91,15.26,16.23,31.01,1242.0,8.45,81.23,0.4,15.4,99.91,95.23,55.27,6.61
