Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2001,,,,,,,,,,,27.69,65.19,,,27.1,31.46,,11.44,108.92,,,,67.17,68.34,,,,,,61.33,,,,,,57.46,,,,,,,,,,39.34,,41.2,,,149.76,25.31,50.62,,,,,,,,,3.81,,,,,50.26,57.82,,,,56.03,40.25,,,123.6,,,,20.27,,,,,,,59.24,61.26,59.02,,,,35.01,,,111.84,117.54,102.85,90.83,,,,,,,,,,21.37,,,,,,31.73,12.38,,,,,31.23,,167.44,,,,,,,,,,,,,,,58.99,49.12,,,,,,,,20.16,,,,,68.27,,,59.26,41.22,65.52,,,28.52,,,,,,,,,,,93.94,,53.37,32.82,,,,,49.24,103.22,,40.07,,45.51,,,60.87,24.55,,79.8,,,,,,,,,,,,,35.34,,84.36,52.44,40.64,,,,,,,,,
2002,,,,,,,,,,,25.88,67.81,,,28.38,31.86,,12.34,108.35,50.59,,,54.12,,,,,,,52.88,,,,,,54.15,,,,,,,,,,,,40.59,,,157.64,27.01,50.32,,,,,,,,,4.43,,,,,47.7,61.18,,,,55.45,41.84,,,125.63,,,,18.69,,,,,,,58.94,57.24,62.55,,,,33.68,,,110.54,127.78,111.88,85.07,,,,,,,,,,21.42,,,,,,30.52,12.09,,,,43.05,33.59,,167.08,,,52.01,,,57.81,,,,48.48,,,,,63.94,49.84,,,,,,,,28.99,,,,,69.73,,,64.72,48.65,67.96,,,27.79,41.35,,,17.44,,,,,,,106.33,,47.48,33.94,,,,,48.19,105.52,79.27,50.03,,49.55,,,59.47,29.67,,,,30.07,,,,,,,,,,,32.34,,86.4,53.86,95.25,,,,,,,,,
2003,,,,,,,,,,,25.07,66.79,,,32.45,31.2,,,102.2,66.87,,,65.63,,,,,,,47.4,,,,,,51.26,,,,,,,,,,,,42.68,,,163.99,28.99,47.7,,,,,,,,,4.86,,,,,48.92,63.67,,,,45.51,42.98,,,120.65,,,,21.04,,,,,,,59.67,55.1,62.19,,,,32.37,,,106.98,127.43,121.92,88.92,,,,,,,,,,22.28,,,,,,27.26,11.7,,,,45.08,30.35,,185.86,,,58.42,,,50.41,,,,,,,,,62.59,51.21,,43.09,,,,,,37.54,,,,,,,,71.12,51.44,71.67,,,25.06,,,,31.42,,,,,,,108.59,,45.67,32.56,,,,,44.46,102.27,92.31,48.52,,52.48,,,58.18,28.71,,,,27.05,,,,,,,,,,,27.95,,86.69,56.25,105.58,,,,,,,,,
2004,,,,,,,,,,,22.86,66.46,,,29.4,,,,98.1,78.9,,,71.9,,,,,,,40.18,,,,,,46.8,,,,,,,,,,,,44.82,,,164.58,28.86,43.25,,,,,,,,,5.27,,,,,46.86,64.64,,,,36.92,44.09,,,126.66,,,,22.14,,,,,,,62.93,48.62,62.59,,,,30.82,,,108.62,122.01,127.55,89.02,,,,,,,,,,23.66,,,,,,26.13,13.64,,,,45.7,27.27,,192.68,,,51.34,,,51.95,,,,,,,,,59.42,51.78,,40.01,,,,,,39.07,,,,,,,,71.6,49.38,76.4,,,21.66,23.4,,,37.7,,,,,,,101.78,,44.11,33.61,,,,,43.69,102.33,90.83,49.58,,56.31,,,57.6,29.23,,,,24.4,,,,,,,,,,,23.89,,90.51,56.66,85.43,,,,,,,,,
2005,,,,,,,,,,,22.41,74.31,,,,,63.79,6.57,96.75,69.98,,,75.7,,,,,,,31.14,,,,,,46.0,,,,,,,,,,,,45.77,,,164.13,28.13,36.07,,,,,,,,,5.18,,,,,42.62,65.61,,,,29.23,45.86,,,127.55,,,,21.6,,,,,,,65.14,83.88,62.23,,,,30.77,,,110.37,121.0,128.21,79.95,7.05,,,,,,,,,20.48,,,,,,23.94,12.03,,,,42.07,33.93,,195.65,,,54.98,,,32.43,,,,53.67,,,,,51.76,50.91,,39.51,,,,,,36.58,,,,,,,,65.71,51.23,79.47,,,19.35,16.48,,,45.83,,,,,,,94.97,,38.61,32.84,,,,,40.97,90.6,92.32,52.04,,54.27,,,57.87,29.27,,,,25.46,,,,,,,,,,,17.09,,92.16,56.54,76.11,,,,,,,,,
2006,,,,,,,,,,,21.44,70.42,,22.78,20.25,,62.37,6.64,89.38,67.37,,,71.3,,,6.02,,,,27.74,,,,,,43.21,,,,,,,,,,,,43.39,,,155.25,28.12,32.39,,,,,,,,,4.94,,,,,39.89,60.97,,,,23.09,44.09,,,126.57,,,,22.23,,,,,,,68.29,86.45,59.67,,,,27.04,,,106.5,117.7,128.6,72.62,5.94,,,,,,,,,21.31,,,,,,20.82,11.45,,,,40.59,29.54,,180.26,,,51.5,,,29.18,,,,49.57,,,,,49.69,45.25,,,,,,,,47.66,,,,,,,29.46,58.8,51.22,78.73,,,16.29,9.67,,,53.6,,,,,,,82.84,,36.61,31.52,,,,,36.38,88.7,84.66,47.2,,51.32,,,51.63,25.68,,,,24.38,,,,16.8,,,,,,,14.26,,92.16,55.47,68.45,,,,,,,,,
2007,,,,,,,,,,,20.1,66.76,,22.99,7.55,,66.8,8.91,83.48,64.36,,,59.81,,,5.94,,,,24.12,,,,,,39.06,,,,,,,,,,,,43.26,,,145.2,27.43,25.18,,,,,85.79,,,,4.23,,,,,35.45,59.49,,,,19.2,41.57,,,123.82,,,,21.99,,,,,,,69.2,83.47,57.5,,,,26.99,,,101.5,112.99,132.22,69.96,5.32,,,,,,,,,21.11,,,,,,17.69,10.4,,,,40.09,29.18,,171.76,,,48.35,,,23.24,,,,46.3,,,117.52,,42.98,43.29,,,,,,,,45.21,,,,,,,25.73,51.57,48.29,76.16,,,17.61,7.11,,,50.27,,,,,,,77.28,,34.99,28.82,,,,,32.56,84.99,97.05,45.3,,43.86,,,45.69,23.48,,,,22.99,,,,15.93,,,,,,,11.82,,93.8,55.66,57.56,,,,,,,,,
2008,,,,,,,,,,,18.18,71.94,4.58,25.46,7.29,,71.09,10.66,91.3,62.27,,,57.7,,,8.0,,,,17.97,,,,,,44.9,,,,,,,,,,,,45.66,,,132.36,29.77,32.26,,,,,,,,,5.06,,,,,34.04,65.37,,,,23.47,44.52,,,127.16,,,,20.38,,,,,,,72.68,128.11,57.29,34.23,,,46.63,,,104.7,120.34,138.57,55.07,6.33,,,,,,,,,36.42,,37.52,,,,14.77,17.21,,,,39.8,30.34,,76.23,71.73,,43.48,,26.61,18.44,,,,41.29,,,,,43.8,56.49,,,,,,,,43.77,,,23.25,,,,23.44,52.43,50.52,80.87,,,18.34,6.48,,,50.74,,,,,174.68,,96.41,,34.04,28.68,,,,,37.63,,92.48,41.63,,43.51,,,45.65,23.19,,,,22.45,,,,,,42.31,,,,,13.23,,105.41,63.82,55.87,,,,,,,,,
2009,,,,,,,,,,,23.87,83.33,6.3,30.91,15.63,,86.85,18.56,95.94,65.2,,,53.94,,,19.25,,,,20.16,,,,,,52.97,,,,,,,,,60.23,,,56.31,,,89.22,36.01,38.39,,,,,,,,,8.22,,,,,42.33,77.95,,,,30.86,48.49,,,143.98,,,,23.39,,,,,,,81.03,144.74,55.26,30.0,,,66.62,,,116.17,134.68,156.98,59.22,9.51,,,,,,,,,61.63,,41.69,,,,30.74,17.56,,,20.12,50.84,46.19,,81.03,72.06,,46.33,,25.44,27.63,,,,43.63,,,,,,58.48,,,,,,,,35.85,,,23.94,,,,24.02,52.4,52.83,93.22,,,28.23,8.69,,,52.51,,,,,100.03,,106.37,,42.04,41.58,,,,,51.46,86.06,100.75,43.4,,53.7,,,46.92,21.82,,,,26.78,,,,,,50.23,,,,,23.99,,123.73,75.84,47.65,,,,,,,,,
2010,,,,,,,,,,,28.66,85.79,6.39,33.69,30.31,,95.62,18.91,93.21,64.4,,,52.0,,,21.89,61.32,,,20.59,,,,,,52.95,,,,,,,,,25.48,,,65.5,,,92.58,40.13,42.74,,,,,,,,,7.9,12.73,,,,48.53,80.3,,,,31.42,56.63,,,136.6,,,,24.82,,,,,,,81.25,148.88,51.59,26.17,,,82.49,,,114.6,136.22,160.5,59.77,10.19,,,,,,,,,74.51,,29.56,,,,41.23,21.94,,,19.26,49.56,54.89,,79.13,69.08,,49.02,,24.15,21.93,,,,47.1,,,,,33.86,61.39,,,,,,,,35.79,,,32.36,,,,21.77,50.2,56.81,100.78,,,34.14,9.09,,,62.06,,,,,74.46,,101.45,,45.56,45.36,,,,,54.35,69.25,104.88,45.86,,,,,43.3,21.17,,,,26.9,,,,,,47.07,,,,,28.87,,131.09,84.96,42.43,,,,,,,,17.32,
