Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2001,,,,,,29.25,,,,,24.86,27.97,,9.86,4.1,6.61,,15.75,26.14,13.96,,,8.19,,,,,,,19.78,,,,,,14.18,,,,,,,,2.75,9.07,,9.54,21.88,,,36.39,14.74,30.17,,,,,,,,,19.22,17.74,8.08,,,21.89,17.69,,,,11.8,10.96,17.19,,20.55,,,,11.04,,,,,,,21.4,22.76,8.08,,5.75,,24.21,,25.9,23.41,21.41,9.73,18.68,,,,,,,1.04,,,20.66,11.88,25.78,,,,19.4,24.98,16.4,,,17.79,9.83,10.59,51.42,,,,,,,,14.66,,,,,26.31,,8.8,21.21,,28.68,9.8,,,,,26.04,,,,,24.7,,12.9,12.27,16.06,20.11,,,16.63,,,,,,,,,,,14.59,,17.28,19.95,,,21.49,,15.61,14.63,15.73,16.49,,19.36,,,27.89,8.97,,8.2,,,,,,21.49,,,,,,,11.66,,25.74,11.86,15.31,,,,,,,,16.54,
2002,,16.48,,,,15.53,,8.11,,,23.55,26.98,,9.0,3.58,6.69,,14.2,25.03,14.51,,,8.88,13.18,,,,,,18.15,9.66,,,8.17,,13.38,,,,,,,,4.24,8.14,13.37,10.05,22.22,,,36.62,14.56,30.12,,,,,13.41,12.1,,,19.63,17.07,9.71,,,22.47,16.95,,,,11.62,10.84,17.49,,20.86,,,,12.07,,,,,,,20.89,22.59,8.68,,4.99,,23.52,,24.9,22.89,21.86,8.91,17.48,,,,,,,1.18,,,19.96,14.43,24.19,,,,19.2,24.78,17.23,,,17.45,9.51,11.17,53.73,,,14.81,,,12.88,,13.37,,17.11,,,26.06,,8.56,21.16,,28.45,10.4,,,,,27.13,,,,,21.01,,12.49,11.67,16.84,20.42,,,16.49,13.63,,,18.1,,,,,,,12.69,,17.12,20.5,,,20.61,,14.74,14.02,21.03,16.66,,20.72,,,26.76,8.96,,,,13.47,,,,19.99,,,,,,,12.63,,24.96,9.87,15.78,,,,,,,,15.44,
2003,,17.2,,,,17.17,,10.54,,,24.3,26.65,,9.29,3.31,6.97,25.24,17.69,24.39,14.57,,,8.94,12.97,,,,,,20.12,9.86,,,7.54,,13.23,,,,,,,,4.04,8.65,13.58,9.66,21.66,,,37.61,14.98,30.14,,,11.75,,13.35,12.68,,,19.83,18.16,9.12,,,22.06,16.53,,,,10.92,11.0,18.48,,19.32,,,,11.86,,,,,13.75,,20.66,23.68,9.11,,5.2,,24.16,,24.14,22.76,24.07,8.77,18.22,,,,,,,1.32,,,20.2,15.38,27.11,,,,19.06,24.63,20.05,8.6,,15.5,9.42,12.77,54.07,,,15.88,,,14.67,,18.04,,16.86,,,23.19,,8.65,20.35,,29.39,11.72,,,,,25.87,,,,,,,13.41,11.67,16.72,19.37,,,17.77,13.29,,,16.91,,,,,,,12.45,,17.68,20.67,,,20.26,,14.32,12.71,21.5,16.17,,19.83,,,26.89,8.98,,9.7,,14.48,,,,20.7,,,,,,,13.16,,24.56,9.39,17.21,,,,,,,,14.86,
2004,,17.97,,,,18.07,,10.94,14.0,,24.26,26.31,,9.43,4.22,7.05,25.77,18.37,24.77,14.92,,,7.34,15.02,,,,,,21.03,11.29,,,8.12,,13.34,,,,,,,,5.28,7.81,13.36,10.01,20.87,,,37.3,15.4,31.29,,,12.52,,13.84,12.65,,,20.23,22.24,9.68,,22.35,21.81,17.45,,,,15.1,10.43,21.75,,18.78,,,,11.74,,,,,14.5,,20.36,24.77,9.57,,5.2,,25.07,,24.04,22.22,24.17,9.2,21.0,,,,,,,1.32,,,20.33,16.51,28.96,,,,19.36,24.04,21.27,9.37,,15.2,10.49,13.69,55.02,,,16.02,,,16.36,,,,17.12,,,24.27,,8.97,20.17,,29.38,12.19,,,,,27.32,,,,,,,13.66,11.36,15.69,19.54,,,17.42,13.19,,,15.93,,,,,,,11.6,,17.29,20.63,,,21.42,,14.65,13.47,21.25,17.21,,19.59,,,27.25,9.02,,9.82,,14.85,,9.31,,21.32,,,,,,,12.81,,25.15,9.54,17.85,,,,,,,,15.32,
2005,,,,,,17.11,,10.91,14.34,,24.75,25.51,,10.0,1.16,7.14,26.73,20.15,24.73,16.17,,,7.94,16.22,19.89,,,,,20.89,10.45,,21.08,7.89,,13.3,,,,18.12,8.57,,,5.92,5.69,13.64,9.87,20.88,,,39.59,14.48,33.07,,,13.7,,14.07,14.51,,,19.1,22.02,8.72,,21.54,21.79,16.96,,,,16.54,10.66,21.32,,20.02,,,,11.38,,,,,14.53,,19.9,27.24,10.08,,6.66,,25.46,,24.57,21.96,23.22,9.98,24.42,17.15,,,,,,1.03,,,21.44,15.17,28.57,7.64,,,19.75,25.34,20.98,8.69,,14.83,11.57,13.3,58.82,,,17.03,,,18.49,,,,18.99,,,25.73,,9.18,21.23,,30.51,12.9,,,18.21,,28.2,,,,,,8.26,14.1,11.92,16.47,20.06,,,17.47,16.6,,,16.94,,,,,25.66,,11.58,,18.01,21.15,,,22.67,,15.48,13.73,20.66,17.64,,19.72,,,28.56,9.13,,,,16.06,,9.12,,25.3,,,,,,,16.53,,25.49,10.68,17.9,,,,,,4.66,,14.79,
2006,6.97,,,,,23.39,,10.76,14.4,,24.51,25.05,,11.25,1.17,7.04,25.29,22.22,24.55,16.74,,,8.6,16.82,21.69,27.53,,,,21.81,10.78,,22.74,8.18,,13.35,,,,19.61,9.06,,,6.83,5.3,13.84,10.33,21.45,,,41.54,14.22,31.86,,,13.99,,15.83,15.67,9.67,,19.96,30.98,8.26,,23.39,21.42,16.1,,,,18.57,10.85,12.53,,19.24,,,,12.05,,,,,15.24,,19.81,26.9,11.13,,6.22,,26.82,,25.31,23.33,24.01,10.35,24.55,14.85,,,,,,0.97,,,22.12,15.01,33.92,7.24,,,20.48,23.93,21.14,9.2,,14.52,11.76,13.32,60.03,,,16.03,,,19.57,,28.71,,19.4,,,29.07,,8.78,21.6,,,13.68,,,17.89,,28.8,,,,,,8.35,15.67,13.13,17.16,20.63,,,17.95,16.52,,,17.22,,,,,23.21,,11.83,,16.8,20.89,,,24.04,,15.87,14.58,20.85,17.63,,20.82,,,28.56,9.19,,,,15.64,,9.83,,28.98,,,,,,,17.09,,25.77,11.31,18.83,,,,,,4.22,,13.71,
2007,5.28,,,,,21.5,,10.36,15.99,,24.04,25.39,,11.36,1.15,6.92,25.95,23.73,24.08,17.41,,,7.16,16.96,21.39,26.62,,,,21.76,11.28,,19.18,9.7,,13.33,,,,20.38,9.77,,,6.99,6.03,14.86,10.67,21.48,,,48.56,14.61,35.09,,,14.89,,15.35,16.74,7.55,,20.22,27.28,7.81,,19.21,21.07,15.59,,,,20.96,11.33,13.88,,19.54,,,,12.26,,,,,16.39,,21.26,25.96,12.11,,5.94,,25.94,,25.3,23.76,24.79,9.96,24.69,12.28,,,,,,1.09,,,21.61,14.94,39.31,10.2,,,20.37,24.38,25.46,9.85,,14.3,12.15,13.06,62.5,,,15.11,,,20.4,,23.48,,21.73,,,30.53,,9.77,21.6,,,13.86,,,18.89,,28.08,,,,,,7.84,16.41,12.96,18.09,20.87,,,17.54,16.55,,,17.64,,,,21.3,22.31,,12.82,,16.75,20.07,,,24.46,,16.43,14.22,21.63,18.27,,20.9,,,28.51,9.07,,,,15.14,,10.88,,25.06,,,,,,,15.82,,25.99,11.29,18.11,,,,,,4.39,,14.08,
2008,6.09,,,,,25.65,,11.28,,,24.21,26.08,16.42,12.12,1.24,7.66,25.4,25.35,24.52,17.15,,,8.04,,20.29,27.92,,,,21.97,10.55,,19.42,10.56,,12.39,,,,18.71,10.1,,,8.97,5.9,15.23,10.74,21.25,,,46.05,13.67,33.42,,,14.16,,15.32,17.06,7.79,,19.3,29.81,7.81,,22.71,20.49,15.14,,,,24.22,11.47,13.9,,19.43,,,,11.46,,,,,16.13,,23.13,22.8,10.98,13.31,6.2,,23.81,,23.28,23.49,24.68,8.81,17.15,12.66,,,,,,0.88,,12.1,20.68,16.42,38.26,9.84,,,20.48,23.56,29.38,11.39,,14.66,11.58,11.84,25.81,19.38,,16.97,9.58,4.29,20.45,,21.65,,24.07,,,29.7,,10.44,21.14,,,13.2,,,,,27.76,,,16.36,,,8.09,16.51,13.03,18.27,20.57,,,16.79,15.82,,,17.67,,,,21.15,22.08,,13.75,,16.45,19.41,,,23.98,,12.81,13.28,20.04,18.68,,22.64,,,27.47,9.59,,,,15.38,,10.34,,,,17.56,,,,,17.09,,26.46,10.28,17.8,,,,,,4.62,,13.26,
2009,8.48,,,,,18.36,,10.35,,,22.02,25.23,14.11,11.25,1.36,7.5,24.71,18.63,23.03,17.87,,,8.77,,18.94,27.69,,,,18.59,11.13,,16.88,9.65,,12.3,,,,14.61,10.31,,,7.89,8.22,13.18,10.5,20.35,,,23.25,13.57,33.18,,,12.64,,15.66,14.98,12.76,,21.52,25.27,6.58,,21.75,18.88,13.72,,,,23.51,11.61,12.61,,19.02,,,,10.5,,,,,14.16,,23.14,19.93,9.81,11.06,7.36,,22.06,,21.39,23.74,24.96,8.28,16.53,16.12,,,,,,0.97,,12.76,18.66,16.86,39.99,,,,17.04,23.84,29.31,8.34,9.94,14.94,9.1,12.97,26.01,18.44,,18.07,9.23,4.4,17.69,,16.54,,21.54,,,29.07,,11.84,20.94,,,13.14,,,,,25.85,,,15.42,,,8.33,14.46,11.7,16.05,18.57,,,15.27,12.96,,,16.94,,,,20.0,25.14,,12.95,,15.52,18.0,,,21.45,,10.23,12.8,18.87,19.13,,22.43,6.47,,27.23,9.35,,,11.53,14.19,,10.32,,,,18.13,,,,,15.79,,24.17,7.9,18.12,,16.5,,,,4.69,,11.69,9.2
2010,9.17,,,,,16.6,,10.79,,,20.48,25.28,12.16,10.76,1.18,7.83,24.69,16.32,23.73,18.96,,,12.45,,19.69,23.88,14.25,,,17.87,11.31,13.86,16.82,10.0,,11.73,,,,17.47,10.21,,,8.35,6.9,12.95,10.21,20.32,,,23.05,13.65,32.74,,,12.21,,14.13,15.81,7.59,,19.82,16.0,8.16,,21.82,18.6,15.11,,,,21.11,11.19,13.39,,20.14,,,,10.61,,,,,14.43,,22.45,20.23,10.39,10.54,,,21.84,,22.08,23.68,24.28,8.72,15.5,15.71,,14.86,,,,0.98,,13.03,19.65,16.84,30.3,11.21,,,15.96,23.82,34.39,8.54,10.56,13.33,8.85,12.89,25.31,17.77,,18.02,9.68,4.66,15.16,,19.59,,21.09,14.35,,25.54,,13.4,20.99,,,13.68,,,,,26.74,,,16.6,,,8.87,15.47,11.64,16.62,19.17,,,16.24,13.05,,,15.59,,2.53,,20.23,27.52,,12.79,,15.0,18.06,,,22.05,,12.41,10.93,16.31,18.21,,21.67,5.86,,27.4,9.36,,,9.91,14.93,110.17,10.51,,,,18.9,,,,,15.0,,25.27,8.56,18.14,,16.19,,,,5.02,,12.83,17.43
