Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2001,,,,,,29.02,,,,,26.18,34.86,,10.42,20.84,7.85,,15.11,29.8,14.47,,,19.38,,,,,,,24.09,,,,,,16.35,,,,,,,,5.65,21.51,,8.29,33.43,,,50.57,33.79,36.36,,,,,,,,,28.21,16.91,14.51,,,23.76,23.19,,,,13.66,13.57,18.71,,32.72,,,,13.4,,,,,,,30.25,29.88,15.55,,17.55,,28.98,,39.36,28.42,26.88,16.23,26.99,,,,,,,43.5,,,28.65,29.01,33.57,,,,24.85,27.03,15.23,,,18.75,18.51,11.01,92.76,,,,,,,,16.46,,,,,28.9,,,24.66,,39.88,14.42,,,,,32.6,,,,,26.92,,16.21,16.38,26.84,31.44,,,24.86,,,,,,,,,,,18.17,,32.66,30.16,,,23.44,,19.45,23.81,24.82,16.64,,20.74,,,29.87,10.77,,7.36,,,,,,23.86,,,,,,,17.9,,34.41,12.21,20.85,,,,,,,,14.1,
2002,,20.51,,,,21.12,,14.06,,,26.36,34.34,,10.39,23.18,7.89,,13.0,27.6,14.2,,,17.75,,,,,,,24.5,9.94,,,9.38,,15.58,,,,,,,,7.48,26.8,18.54,9.08,30.63,,,51.99,33.82,36.37,,,,,22.39,17.6,,,27.9,19.11,17.25,,,24.43,23.65,,,,13.09,13.91,20.03,,32.8,,,,12.98,,,,,,,31.71,30.39,16.05,,17.49,,29.47,,43.6,27.79,29.98,16.11,28.34,,,,,,,41.42,,,28.84,28.35,34.52,,,,24.53,27.81,14.82,,,17.67,18.37,11.69,91.35,,,20.12,,,,,18.37,,22.08,,,27.34,,,24.77,,40.34,12.2,,,,,37.55,,,,,22.09,,15.8,16.24,27.18,32.17,,,23.7,13.89,,,30.06,,,,,,,16.15,,32.32,29.04,,,22.52,,17.97,22.91,21.04,16.69,,20.74,,,30.65,12.3,,,,20.07,,,,24.9,,,,,,,17.62,,35.77,12.41,22.24,,,,,,,,14.17,
2003,,18.46,,,,25.9,,14.66,,,25.7,34.35,,11.26,20.87,7.84,26.98,17.48,28.14,16.27,,,17.69,,,,,,,25.34,9.31,,,9.29,,15.67,,,,,,,,7.7,19.55,17.97,10.32,30.16,,,56.81,34.13,36.82,,,10.39,,22.48,15.18,,,27.78,19.81,15.76,,,24.83,23.26,,,,11.93,14.16,22.02,,32.99,,,,14.57,,,,,20.22,,30.76,31.64,15.58,,17.18,,29.73,,38.1,27.48,31.82,15.73,29.47,,,,,,,37.79,,,28.34,30.47,33.93,,,,23.46,28.83,14.08,9.64,,17.63,17.42,12.94,98.49,,,20.21,,,15.7,,20.89,,20.81,,,28.68,,,25.66,,41.11,13.15,,,,,37.29,,,,,,,16.03,16.3,28.26,32.98,,,24.21,17.53,,,16.46,,,,,,,15.94,,27.7,29.03,,,23.73,,17.41,20.48,21.5,17.5,,19.83,,,30.79,10.72,,9.55,,14.73,,,,22.1,,,,,,,18.61,,36.97,13.01,22.99,,,,,,,,15.74,
2004,,18.17,,,,16.15,,12.34,14.36,,25.61,36.91,,11.28,19.37,7.6,25.79,18.84,27.04,19.29,,,16.23,25.59,,,,,,24.74,10.18,,,8.18,,14.91,,,,,,,,10.26,28.67,16.82,10.11,29.59,,,53.93,30.64,36.57,,,13.21,,22.25,17.42,,,27.46,19.58,16.17,,25.1,24.5,23.34,,,,15.79,13.63,23.48,,34.58,,,,12.88,,,,,18.68,,30.96,30.26,15.13,,16.65,,29.72,,37.51,27.21,30.25,15.07,32.14,,,,,,,35.27,,,28.92,26.85,32.21,7.34,,,24.29,29.42,11.84,10.86,,18.89,17.75,13.66,94.86,,,20.34,,,19.15,,,,21.37,,,25.6,,14.6,24.92,,40.42,12.92,,,,,35.26,,,,,,,15.66,15.25,26.07,33.47,,,24.05,16.9,,,28.53,,,,,,,14.39,,26.15,28.46,,,24.74,,17.77,20.71,21.05,17.03,,19.4,,,29.79,10.61,,12.08,,15.36,,9.31,,22.62,,,,,,,20.65,,37.43,12.97,21.81,,,,,,,,17.45,
2005,,,,,,20.83,,,15.49,,25.55,34.45,,11.36,17.31,8.14,28.1,19.91,29.91,18.69,,,18.8,,20.99,,,,,22.68,10.2,,27.7,7.59,,15.51,,,,17.21,,,,13.12,21.45,17.09,10.53,28.56,,,54.94,29.6,34.68,,,13.49,,22.7,17.83,,,27.0,20.88,14.85,,24.71,24.46,23.05,,,,21.75,14.02,22.75,,33.14,,,,13.04,,,,,18.93,,31.14,33.57,15.17,,19.42,,30.43,,37.33,27.35,27.45,15.05,35.65,18.22,,,,,,28.51,,,29.69,26.84,33.43,6.94,,,23.38,28.86,11.84,9.5,,17.69,31.18,12.83,93.81,,,20.84,,,20.69,,,,25.46,,,25.41,,,24.78,,41.18,13.72,,,20.12,,33.14,,,,,,10.97,16.13,16.51,25.44,34.53,,,23.63,15.93,,,26.46,,,,,28.65,,12.59,,26.15,29.34,,,24.84,,16.93,20.2,22.14,15.66,,20.68,,,30.46,10.37,,,,15.23,,10.54,,22.65,,,,,,,23.81,,37.87,13.32,21.14,,,,,,8.15,,19.76,
2006,20.58,,,,,19.03,,,14.45,,24.9,33.71,,11.66,16.29,8.33,26.9,21.72,27.33,19.59,,,18.37,,21.44,29.33,,,,22.01,11.28,,26.92,8.59,,14.71,,,,15.89,,,,14.43,17.76,16.02,9.75,26.7,,,54.15,28.89,33.03,,,13.68,,28.11,19.93,3.69,,26.77,22.25,9.52,,26.53,24.0,21.96,,,,23.43,13.51,15.29,,32.12,,,,13.22,,,,,18.95,,33.93,33.2,15.19,,20.72,,30.66,,35.98,28.12,28.62,14.85,32.75,14.62,,,,,,34.55,,,29.19,31.71,36.43,5.61,,,23.38,27.12,11.2,10.0,,17.72,27.81,13.34,93.82,,,20.21,,,22.48,,19.76,,22.94,,,23.98,,,24.75,,,15.08,,,19.42,,32.09,,,,,,11.05,15.57,14.57,25.66,33.4,,,24.4,14.84,,,25.26,,,,,31.78,,13.06,,26.03,27.47,,,24.88,,17.01,21.15,20.48,14.16,,20.46,,,29.67,9.94,,,,14.91,,11.51,,29.51,,,,,,,23.47,,38.14,12.85,21.04,,,,,,9.64,,14.24,
2007,24.24,,,,,20.82,,,14.34,,24.45,32.5,,11.87,16.01,8.66,29.25,23.88,27.21,18.02,,,17.51,,23.31,31.15,,,,25.98,12.31,,20.62,8.2,,14.65,,,,16.04,,,,12.74,18.47,15.45,10.66,27.22,,,53.84,28.71,35.87,,,13.48,,25.15,16.32,3.43,,26.22,21.47,7.69,,23.13,22.75,21.89,,,,26.13,13.22,17.87,,33.43,,,,12.66,,,,,21.36,,31.46,33.04,15.26,,16.83,,31.93,,35.24,27.51,28.55,14.0,33.88,14.15,,,,,,29.25,,,27.79,31.57,41.46,7.68,,,22.98,25.74,10.45,9.68,,18.12,27.43,13.05,92.43,,,18.85,,,22.77,,23.1,,23.33,,,22.95,,,24.85,,,14.69,,,19.75,,32.0,,,,,,10.19,16.55,13.89,24.76,32.77,,,25.89,19.55,,,25.6,,,,22.05,30.45,,12.15,,23.63,25.07,,,24.76,,17.16,20.05,20.36,13.37,,19.66,,,28.75,10.95,,,,15.77,,11.64,,24.51,,,,,,,22.16,,38.43,13.01,20.72,,,,,,9.37,,14.77,
2008,50.72,,,,,22.39,,,,,24.32,33.12,16.14,12.78,16.22,9.43,30.86,23.95,28.4,18.3,,,21.55,,23.96,35.75,,,,25.04,10.76,,19.05,8.56,,14.75,,,,18.41,,,,12.35,15.3,15.34,11.02,27.55,,,55.84,28.39,36.56,,,15.18,,26.5,18.51,4.16,,30.64,26.04,12.88,,21.44,23.4,22.23,,,,29.54,13.42,20.55,,36.58,,,,11.87,,,,,20.99,,32.28,50.91,17.23,18.45,18.25,,37.07,,36.16,28.07,31.09,15.26,30.47,14.62,,,,,,45.53,,10.78,32.42,30.55,46.49,10.43,,,24.86,26.4,13.73,9.48,,19.57,25.67,11.98,41.88,62.17,,18.77,,18.22,22.44,,21.75,,24.41,,,25.16,,,25.1,,,15.21,,,,,30.67,,,50.24,,,9.54,16.14,13.58,25.33,33.75,,,24.67,17.52,,,26.92,,,,22.85,24.62,,14.5,,23.3,26.01,,,25.68,,17.74,19.21,25.54,16.16,,21.8,,,28.91,9.86,,,,16.26,,9.6,,26.43,,23.01,,,,,23.45,,41.24,14.5,19.36,,,,,,11.58,,16.38,
2009,44.32,,,,,25.5,,,,,26.47,36.02,19.95,14.24,19.76,9.87,33.98,21.45,29.17,19.89,,,22.12,,24.15,39.18,,,,27.23,11.23,,18.11,10.97,,16.23,,,,21.31,,,,11.31,13.88,18.31,10.48,29.4,,,33.63,30.84,41.7,,,14.82,,26.43,21.09,4.87,,35.48,25.9,12.15,,23.88,26.74,23.46,,,,31.31,14.68,18.03,,40.48,,,,12.62,,,,,22.34,,33.21,41.19,16.85,15.37,19.64,,44.04,,36.33,30.77,36.33,18.21,29.21,16.88,,,,,,36.26,,11.52,36.79,28.79,52.18,,,,27.18,29.12,17.6,7.72,15.69,21.67,29.2,12.9,41.1,59.91,,19.99,18.75,16.66,26.04,,20.49,,23.99,,,27.04,,,27.97,,,15.5,,,,,35.41,,,50.61,,,11.09,16.66,14.51,25.29,36.26,,,26.44,27.33,,,30.65,,,,23.7,26.48,,14.3,,29.04,29.51,,,28.07,,21.64,20.96,26.08,17.49,,24.36,15.67,,30.55,10.15,,,15.35,17.51,,10.54,,33.01,,27.28,,,,,25.13,,43.8,15.9,19.8,,20.98,,,,9.47,,14.5,9.47
2010,50.86,,,,,25.65,,,,,26.7,34.64,18.04,15.39,19.47,9.27,34.32,19.44,29.29,19.83,,,20.56,,23.73,33.52,30.7,,,24.55,10.59,21.42,17.98,10.63,,16.51,,,,20.21,,,,8.37,10.76,18.64,10.63,30.86,,,33.15,30.79,42.06,,,13.89,,25.35,19.56,5.62,,33.73,24.69,12.5,,23.84,27.18,24.68,,,,25.06,16.13,20.16,,39.6,,,,12.86,,,,,21.63,,33.08,38.3,16.51,14.01,,,62.36,,34.33,30.15,28.9,17.22,26.24,16.2,,52.8,,,,42.17,,11.03,39.65,25.84,42.54,13.57,,,26.61,28.21,15.54,8.57,12.7,18.23,25.44,12.78,39.87,54.53,,20.96,18.59,16.78,20.28,,19.66,,25.03,19.62,,28.1,,15.64,28.71,,,14.99,,,,,34.73,,,49.98,,,10.44,15.94,13.79,26.37,36.47,,,26.99,21.92,,,31.28,,24.43,,24.81,28.3,,12.41,,27.74,29.9,,,28.72,,19.98,16.3,25.21,18.07,,24.32,14.13,,30.02,10.05,,,13.19,17.07,83.61,10.25,,30.7,,25.18,,,,,26.56,,44.15,16.38,19.69,,23.25,,,,8.49,,14.67,16.12
