Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2001,22.91,,108.82,,,,,117.31,93.44,110.92,101.44,102.47,98.86,,94.26,,102.64,116.3,103.43,117.53,87.41,106.42,82.15,118.06,,104.54,,108.82,100.77,105.34,44.62,63.52,115.66,119.98,102.06,,108.33,65.88,,,115.91,121.09,,,97.02,110.12,71.67,101.51,103.6,,96.65,104.47,99.72,,115.18,,108.01,89.99,109.07,84.35,89.48,105.54,97.11,57.13,,100.62,99.69,100.38,,129.43,75.4,102.7,106.65,75.62,107.7,101.49,,94.99,,100.07,61.33,90.83,96.81,,,100.91,101.18,99.33,99.0,111.36,103.05,,102.02,,97.64,102.0,92.06,,,99.93,95.14,110.48,,98.79,,99.11,92.38,105.04,103.41,,115.4,,108.63,,103.15,99.38,103.47,97.15,150.41,98.29,124.85,59.21,105.5,,78.2,102.98,109.03,,,,99.84,,97.7,82.99,99.22,112.29,99.45,107.47,106.74,,99.18,104.15,34.75,95.94,101.23,,99.33,93.13,63.47,,106.49,61.6,120.57,116.48,109.19,100.53,119.48,,94.38,105.79,115.67,121.94,93.85,,,,71.98,103.15,115.74,73.12,,,104.61,102.65,,,90.87,,104.56,104.36,108.23,106.91,,110.65,58.7,105.87,106.83,103.61,108.7,95.74,75.08,95.55,125.84,114.72,113.3,99.07,111.36,107.18,,107.09,101.06,130.85,119.88,122.87,100.94,,109.69,98.11,109.72,103.11,111.04,,97.64,71.95,80.44,116.36
2002,75.96,110.34,110.43,,98.23,,,117.3,90.67,115.32,102.53,102.81,98.35,82.87,94.67,,101.89,114.08,103.61,113.36,92.61,106.83,83.75,118.54,,104.76,,109.08,102.59,109.65,45.4,70.45,114.85,135.53,102.15,,107.22,70.16,,101.29,,121.78,104.09,62.79,99.68,109.56,71.69,100.78,104.07,,97.77,106.01,101.69,,111.58,117.97,108.66,89.93,111.01,80.58,95.84,105.47,96.81,60.12,,100.2,99.64,100.25,,135.53,73.66,103.33,104.92,79.37,,93.63,,107.35,,103.25,69.71,,,,,101.92,101.26,98.89,98.07,112.08,103.72,,102.82,,97.06,102.74,92.35,,93.91,100.62,89.32,103.21,,98.96,,103.89,93.48,107.94,104.02,,118.37,,106.85,,103.1,99.79,106.84,97.79,146.67,94.64,122.17,63.02,105.04,94.42,78.92,102.73,109.22,,,,101.28,,103.06,86.3,99.49,111.61,95.9,112.23,106.96,,99.51,110.59,38.68,97.07,99.63,,99.32,92.99,63.84,,108.92,59.26,119.24,116.15,108.1,100.3,115.04,,95.15,105.53,122.05,123.55,96.26,,120.19,,73.13,102.43,105.39,,,,104.18,105.33,91.92,,93.33,,105.45,102.99,106.15,105.88,,106.3,59.87,105.99,107.15,104.0,110.06,96.62,90.3,96.76,122.97,116.2,214.67,93.74,109.62,107.68,,103.59,90.8,134.56,127.06,118.78,100.69,,111.09,97.98,111.18,105.4,109.38,,96.98,74.1,83.4,111.18
2003,96.55,107.6,111.21,,95.11,,,114.68,93.57,113.9,102.85,102.38,96.21,,94.47,,103.01,104.92,103.78,118.0,96.33,108.21,86.25,116.68,,105.01,,107.38,106.53,111.69,47.79,76.18,113.0,140.37,102.52,,,72.29,,101.06,,,100.8,,94.74,,67.72,100.99,102.93,,97.39,106.41,,,108.1,115.68,108.23,89.92,113.95,73.19,101.61,105.65,98.2,61.62,,100.09,99.69,99.98,,132.97,77.24,103.74,103.67,76.99,,96.36,,107.33,,,73.03,,96.52,,108.16,102.71,101.33,99.06,106.22,112.11,105.51,96.08,102.72,,96.58,103.36,91.46,,95.49,101.24,104.05,108.18,,99.99,,106.23,94.54,111.49,105.02,,123.28,,105.59,106.18,102.96,99.11,105.17,112.09,,94.13,121.53,65.0,104.11,84.36,80.68,102.19,109.26,,,,106.16,105.83,105.9,,102.24,111.42,84.36,112.04,108.03,,99.95,111.07,41.73,98.17,97.42,,99.28,96.5,65.77,102.9,108.24,55.75,115.41,114.82,107.84,100.18,115.24,,96.91,102.83,126.57,123.16,98.08,,122.33,,77.38,101.77,107.55,,,,104.27,110.09,,,95.13,,105.16,100.47,107.76,105.31,,110.78,62.13,,107.76,104.16,118.26,97.87,96.98,,121.0,113.57,117.97,96.62,108.47,104.26,,85.82,95.39,135.17,99.24,117.26,100.6,,111.06,97.27,115.73,103.5,107.75,,96.18,77.61,,109.5
2004,106.25,104.13,111.68,,92.98,,,115.67,94.74,116.19,103.3,102.74,97.26,89.5,94.7,,101.13,103.45,103.04,119.64,100.35,108.33,89.68,115.96,,104.96,,108.45,107.65,111.75,52.43,81.47,110.66,144.73,107.36,99.42,99.56,75.79,,105.63,,122.84,98.55,,106.13,113.61,,,103.3,,97.2,106.53,100.0,,104.94,107.72,107.82,90.44,117.1,,100.71,104.81,104.61,64.86,,101.04,99.79,99.81,,,78.33,104.98,103.64,81.05,,99.34,,105.62,,109.32,76.02,109.88,,,106.27,100.33,100.86,99.11,,111.61,108.46,95.08,102.96,,96.45,103.98,93.92,,96.63,102.33,103.93,105.04,,100.18,,107.47,96.27,113.8,105.49,,124.08,,106.59,109.15,103.97,99.1,105.1,127.91,138.78,96.13,120.15,68.4,105.06,93.89,86.85,101.86,108.83,111.74,,,110.11,104.63,106.19,96.12,103.71,109.81,96.04,114.89,108.2,,99.67,113.05,45.62,99.18,97.45,,99.35,,69.65,102.88,109.76,55.64,115.15,114.13,106.66,100.05,114.67,,93.37,105.12,,131.43,99.05,98.23,123.55,,80.21,102.74,106.24,,,,104.14,96.68,,,96.87,,105.0,96.02,109.06,103.17,,106.99,64.15,,100.14,104.15,119.07,97.42,102.12,99.78,119.33,112.43,112.47,96.77,107.59,104.27,,95.97,99.43,126.58,98.86,110.69,105.94,,111.09,96.99,113.68,103.39,106.45,,93.0,80.94,102.57,
2005,100.23,107.02,112.2,,84.26,,,114.74,93.73,116.4,103.4,102.09,95.53,93.89,94.84,99.95,100.57,101.11,103.11,119.48,97.64,108.18,92.76,115.2,,105.35,,110.11,107.53,110.92,56.96,86.93,109.54,143.9,105.4,98.58,95.46,72.55,,105.35,,124.04,,,106.07,111.62,,100.14,103.18,,99.87,106.74,98.21,,104.14,108.27,107.85,90.47,117.05,71.33,97.94,103.57,108.24,76.45,,,99.78,104.64,,,76.39,103.14,103.44,87.57,,99.72,,98.93,,110.46,78.04,116.42,103.63,,102.18,100.73,100.98,99.18,,110.96,109.03,,103.08,,95.5,103.98,93.89,,96.52,101.98,103.89,106.62,,100.34,,110.18,96.97,115.8,104.84,,124.61,,101.8,105.75,102.84,99.87,102.85,132.9,136.06,96.88,114.22,71.87,102.9,93.13,87.05,102.09,108.53,110.4,,,97.96,108.76,106.11,102.88,104.56,111.19,117.13,115.49,107.94,,99.83,113.98,47.35,99.78,98.1,,99.26,96.95,73.18,108.73,108.75,56.69,116.11,113.77,105.97,99.93,114.44,,96.1,102.19,96.79,138.09,99.49,,125.45,92.31,82.12,104.2,115.6,,,,102.93,98.21,97.35,,97.63,,104.36,98.1,108.86,103.06,,112.3,65.92,107.75,100.28,103.92,120.9,97.93,106.0,100.64,114.29,111.3,111.58,93.54,107.33,104.61,,95.44,102.98,120.29,109.22,105.72,105.8,101.87,110.98,96.86,111.89,102.99,103.82,,92.17,83.27,113.94,
2006,103.93,105.48,111.93,,84.43,,,116.32,95.98,117.47,103.56,102.31,94.22,91.74,101.59,99.98,101.04,99.38,102.79,119.15,97.92,107.24,97.15,113.56,,105.87,,109.27,108.03,108.82,60.66,110.78,109.63,140.78,103.89,99.76,99.34,72.13,,105.67,106.5,124.62,,,106.94,113.06,64.89,99.38,102.91,,100.89,104.37,99.35,,102.45,103.6,108.03,92.06,115.95,,91.77,102.76,114.3,81.4,,99.44,99.77,104.28,,,74.93,104.71,104.26,92.01,,99.14,,,,111.45,79.84,121.14,,,105.37,101.06,101.5,98.9,,109.59,110.64,,103.0,,95.38,103.78,,,95.71,101.17,101.54,104.6,,100.36,,107.86,97.48,116.55,104.26,,127.24,90.79,106.92,107.51,102.03,99.64,100.33,133.37,134.92,97.29,112.66,74.67,102.83,96.14,90.23,101.6,108.13,,,,99.66,112.5,105.15,105.23,105.36,111.91,92.68,129.82,107.84,,99.6,117.26,47.89,100.19,97.48,,99.36,95.92,69.86,108.16,109.35,55.26,114.45,113.6,103.89,99.64,113.98,,94.61,101.63,96.53,148.05,99.56,,,,81.85,103.81,117.43,,,,102.15,100.25,102.32,,99.72,,103.61,97.63,,107.42,,,70.83,106.31,100.3,104.12,120.94,97.57,108.85,100.23,,114.66,110.63,,106.79,104.94,,,103.99,119.04,103.98,100.26,104.35,,111.69,96.2,107.26,102.69,101.77,,90.27,,115.22,
2007,101.09,103.49,112.47,,86.87,104.23,115.97,117.35,106.07,119.88,105.42,102.77,94.77,95.12,,98.19,100.56,97.79,102.45,117.11,,,101.17,112.77,110.15,104.85,,113.08,107.87,106.1,66.19,124.01,108.7,137.84,105.75,99.54,103.09,70.93,,106.52,106.73,125.47,96.84,86.5,105.27,111.83,65.33,98.87,102.05,,100.69,103.38,100.0,,102.73,113.68,109.57,93.07,120.9,,82.43,101.68,117.82,87.86,,94.51,99.66,103.86,,,76.66,107.82,104.79,96.53,,98.76,,99.24,,111.96,82.12,,100.86,,100.34,100.73,101.52,98.56,114.11,112.23,110.37,103.74,103.31,,95.84,103.75,95.06,,93.89,101.43,108.05,101.96,,100.79,,109.49,97.27,116.7,104.21,,121.09,,,107.27,101.1,99.52,101.57,135.71,131.13,97.77,107.77,76.98,103.0,95.9,92.49,100.84,108.73,110.69,,,96.99,116.8,105.76,111.54,106.31,114.91,84.3,131.22,107.65,,99.46,116.38,50.23,91.43,97.68,,99.57,93.55,74.22,108.27,110.56,,113.06,113.86,103.44,99.12,113.06,,98.26,100.09,96.11,154.82,100.02,,122.22,92.49,85.09,102.18,125.34,,,,102.25,96.44,103.54,23.39,103.16,,103.03,96.77,107.28,101.43,,107.45,70.6,102.54,100.06,103.96,120.17,97.47,110.54,98.95,,108.53,110.23,96.45,104.08,105.45,,,,118.37,102.67,97.28,103.1,,111.18,96.36,108.81,104.31,100.47,,89.73,,116.5,
2008,103.41,100.38,111.07,,89.45,111.11,117.97,118.44,107.11,118.33,105.24,102.27,94.07,94.09,,95.11,101.04,97.49,102.27,114.76,110.89,,104.59,111.65,107.45,104.3,,,106.23,104.16,71.75,127.55,108.34,131.56,105.92,98.6,101.88,78.97,,106.87,107.43,126.48,102.51,95.34,103.2,113.0,69.16,97.9,100.85,,101.21,102.21,99.66,,102.76,109.53,107.74,,112.69,60.86,76.64,100.8,,94.04,,94.11,99.72,103.62,,,75.16,108.36,105.1,101.16,151.46,,,103.12,,112.89,83.52,,102.04,,100.88,102.48,101.75,98.45,114.63,110.81,109.58,,102.48,,95.4,102.94,100.57,,91.74,103.33,107.59,104.76,,101.34,,105.85,98.43,117.96,103.55,,120.44,89.31,,105.53,99.5,99.18,102.43,139.66,137.76,98.18,105.49,78.87,103.14,98.22,89.49,101.19,109.45,,,124.63,98.8,120.29,104.58,116.03,107.9,115.42,87.82,129.52,107.35,,99.33,116.16,54.03,82.38,91.8,,99.71,91.82,73.91,,109.24,59.12,111.68,111.2,105.31,98.24,112.72,,98.57,98.58,95.32,154.72,,94.25,121.88,93.27,85.25,100.44,130.72,,,,102.77,97.11,,,105.0,,102.45,95.74,114.54,99.86,,108.82,76.55,108.02,100.14,104.09,118.99,98.26,111.03,96.9,122.8,109.12,112.81,97.4,103.71,102.86,,,,121.46,101.71,,105.74,,110.92,96.61,110.26,101.42,99.25,,89.99,83.07,117.85,
2009,99.37,100.92,112.95,,90.24,110.2,117.42,118.4,105.32,120.84,105.22,101.36,95.07,88.6,,97.63,100.3,98.17,102.26,114.13,116.08,,109.03,108.03,108.24,104.58,,112.68,105.58,102.06,76.25,135.51,107.64,128.57,107.81,99.59,,83.68,,105.76,106.63,128.16,,95.48,107.09,114.59,68.64,97.97,101.1,,102.18,101.48,100.0,,104.03,111.82,112.42,94.66,111.04,61.22,73.4,100.18,119.77,92.91,,93.2,99.66,103.04,,,73.87,107.79,104.82,99.16,151.89,,,108.22,,118.61,83.64,,98.92,,98.92,104.34,100.92,98.4,113.05,112.18,108.99,,102.8,,97.34,101.48,102.67,,,103.09,108.58,102.68,103.04,101.05,,104.78,98.32,119.46,102.92,,118.39,96.62,,105.75,99.95,,101.26,147.81,134.63,98.4,104.69,80.06,98.13,100.06,95.79,100.48,110.72,,,,107.18,113.77,104.29,116.35,107.8,116.41,,141.47,107.02,,99.06,,57.91,83.5,91.91,,99.71,100.97,74.17,,107.18,,110.52,110.65,107.67,98.04,110.98,96.76,103.21,100.86,95.52,156.61,99.81,92.95,121.79,94.62,84.63,96.65,127.48,,,,102.23,97.71,,,106.33,,102.1,93.38,114.77,99.67,,108.37,76.22,108.81,99.49,103.63,117.86,96.42,105.08,93.13,125.42,123.09,113.07,97.52,104.47,101.92,,104.63,,122.99,100.66,78.31,105.42,,110.82,97.0,109.38,101.62,97.42,,90.08,,111.73,
2010,102.9,99.86,113.38,,90.12,111.87,119.56,118.23,96.68,115.08,105.49,100.84,93.76,85.58,,99.74,100.15,97.61,102.24,112.67,117.38,108.89,111.82,105.49,88.58,,,111.81,104.97,101.4,76.9,139.47,107.25,125.5,109.5,99.12,102.85,83.84,,103.22,105.0,124.38,,95.63,108.75,113.42,,98.07,100.69,,101.62,101.04,100.18,,105.03,110.5,109.24,94.58,111.04,62.48,69.17,99.6,125.43,91.04,,,99.69,102.76,,,73.2,107.45,104.34,,,99.97,,106.64,,117.17,86.3,113.27,100.93,,98.8,105.43,100.47,98.83,112.53,113.97,107.24,,103.24,,97.66,100.8,99.76,,89.69,103.28,,105.76,,100.8,,103.46,98.63,121.51,102.96,,118.15,,,105.46,100.42,98.0,101.17,142.48,135.97,98.65,102.21,80.45,102.58,,97.25,100.59,111.0,,,,118.51,108.25,107.34,117.31,108.51,117.14,,146.54,106.75,,99.03,115.13,61.66,83.02,92.33,,99.63,,74.52,,106.05,,110.3,110.86,,98.62,109.77,99.1,103.01,99.97,,155.32,104.31,92.44,118.78,97.01,84.31,94.46,111.25,,102.99,,101.64,98.06,112.37,,107.65,,101.21,97.78,117.18,99.11,,109.59,75.69,107.71,99.16,103.39,117.09,95.44,103.19,97.59,128.01,125.68,113.93,97.64,105.67,104.57,,,,120.5,100.07,80.52,105.67,,109.98,95.86,116.78,101.07,99.46,,90.91,84.02,110.65,
