Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2001,14.47,,69.08,,,14.46,,98.06,85.99,95.29,,98.86,,,83.46,50.31,106.9,,155.95,69.45,22.65,87.94,34.77,75.79,,73.78,,96.0,69.65,80.94,10.1,9.64,61.86,20.97,32.95,,85.51,13.02,,,62.11,,,,,65.94,,94.78,84.56,,93.45,94.59,129.88,,109.13,,56.29,80.79,56.93,19.15,41.86,96.22,43.59,16.77,,74.34,128.17,104.57,,48.7,,86.7,99.55,29.83,111.19,102.05,,,,32.69,18.65,,94.55,,,78.57,98.43,110.14,48.08,56.86,79.4,36.7,105.22,,97.8,97.28,77.2,,,,41.16,74.78,,97.61,,88.38,81.76,35.63,92.86,,31.31,,,,99.62,95.66,82.36,,32.65,79.56,61.14,,90.72,,20.03,80.3,72.88,,,,70.19,,40.88,7.08,39.9,67.63,45.72,37.12,123.44,,112.63,55.63,6.11,27.32,84.29,,114.57,80.0,,,66.4,,68.48,83.64,77.22,101.69,108.5,,87.84,83.5,,11.15,78.78,,,,15.97,90.5,78.57,24.63,,,87.46,108.75,23.71,,77.48,,115.33,,93.9,73.6,,,31.26,69.88,147.9,94.76,45.61,73.78,,64.31,36.98,35.35,97.52,,73.02,85.31,,,70.21,,99.42,,101.23,,100.67,,34.55,63.73,,,78.33,41.66,,43.31
2002,,74.54,72.89,,76.69,15.61,,97.47,,100.27,,98.95,,86.34,86.37,51.42,106.54,,157.65,,24.6,87.91,,80.63,,74.27,,93.98,71.91,83.98,,10.16,65.92,24.7,28.75,,80.95,13.83,,89.42,62.85,78.16,35.7,,36.58,67.33,,95.02,88.74,,96.92,95.29,125.11,,112.23,67.82,57.24,80.39,60.48,18.68,43.22,99.08,43.97,18.59,,75.7,129.49,103.19,,49.5,,88.59,100.85,31.33,,98.18,,109.4,,35.41,21.39,,,,,79.97,99.83,113.52,49.3,58.4,79.69,,106.36,,99.27,98.81,77.34,,83.64,,41.43,79.47,,97.27,,,80.31,38.43,95.29,,32.35,,111.41,,102.29,95.44,85.11,,32.06,78.66,61.45,,91.16,75.65,20.1,82.42,75.15,,,,75.12,,42.86,8.7,41.35,66.25,41.76,40.77,120.75,,115.52,59.81,6.18,29.92,83.97,,113.26,82.37,,,67.71,,70.14,85.03,81.28,103.72,109.79,,87.48,84.95,,12.1,79.41,,,,17.36,89.31,74.46,,,,88.58,109.76,30.71,,76.91,,115.29,,91.24,75.17,,86.07,31.33,70.97,144.22,93.59,47.24,75.78,,65.73,42.84,39.47,194.46,,74.86,90.11,,,,,100.04,,102.61,,105.92,,37.66,67.77,,,80.73,,,42.4
2003,14.08,77.75,75.75,,76.07,,,96.51,,99.44,,99.4,,,88.95,51.26,105.99,,158.88,75.7,25.94,90.01,,83.47,,74.75,,94.61,74.11,88.12,11.34,10.49,67.4,28.72,30.29,,,15.26,,90.62,64.06,,39.24,,37.65,,,95.5,91.9,,97.56,96.05,124.62,,117.94,,56.82,80.27,63.96,,44.48,99.08,43.1,19.03,,77.26,132.24,102.77,,,,90.8,101.23,32.94,,94.34,,113.69,,,22.81,,82.74,,,80.17,101.85,116.79,51.9,61.61,79.26,40.46,107.85,,98.26,99.53,78.45,,83.76,,43.26,85.54,,96.97,,97.5,84.76,41.2,96.54,,33.17,,106.46,111.74,105.02,94.9,88.15,,,83.35,68.08,20.31,93.11,69.5,21.04,85.58,78.55,,,,82.45,91.95,44.63,,41.65,65.42,47.15,41.93,119.91,,117.43,,6.77,,83.66,,113.38,83.63,19.91,100.44,,,67.79,78.4,82.64,106.25,108.31,,88.7,84.22,94.64,13.58,80.81,,36.1,,,89.33,77.53,,,,91.03,111.06,,,76.41,,114.45,,88.8,77.92,,85.24,32.88,,136.47,93.35,62.58,78.12,,,46.34,41.61,109.54,,74.52,91.82,,79.18,,,101.25,,102.16,,109.8,95.45,38.0,68.91,,,83.52,42.66,,40.05
2004,19.26,78.98,79.9,,76.22,,,96.0,84.53,97.21,,99.29,,80.7,86.31,47.86,106.92,,151.64,77.11,27.79,93.32,,86.38,,76.27,,97.54,78.33,90.53,12.43,12.08,67.23,31.98,26.93,,87.1,15.66,,91.02,,82.95,42.74,,42.35,79.98,,,91.31,,96.29,95.47,121.35,,115.03,68.89,57.41,79.42,67.67,,44.65,101.45,46.61,21.0,,79.87,110.78,102.22,,,,87.3,101.38,35.56,,92.89,,105.87,,38.66,24.8,,,,,81.73,95.94,108.13,53.66,63.96,78.55,45.23,109.41,,97.19,99.08,84.14,,83.66,,46.9,85.64,,97.0,,101.72,83.22,43.14,99.3,,35.57,,,110.76,103.01,94.19,92.51,,30.03,82.97,67.93,22.13,104.42,71.56,21.6,86.34,79.78,85.39,,,88.25,90.45,47.59,11.07,44.5,64.73,36.21,,116.91,,115.38,64.16,8.24,35.28,83.25,,114.05,,21.91,95.91,67.41,,69.15,81.72,84.03,98.49,95.08,,90.06,82.58,88.13,15.33,80.43,,39.65,,20.3,88.92,77.41,,,,93.8,98.9,,,77.43,,115.08,,86.03,77.95,,92.74,36.38,,101.43,93.22,65.79,79.43,,67.39,56.04,43.01,97.93,84.27,78.51,88.31,,84.93,,19.02,98.84,,104.94,,108.26,96.3,39.97,71.54,,,87.37,43.47,,
2005,20.31,82.97,82.04,,86.09,,,94.19,86.74,95.53,,100.2,,81.66,83.23,46.6,107.73,,157.34,75.59,,93.31,44.01,87.43,,77.12,,106.57,82.25,91.37,13.45,13.28,70.56,,27.41,100.26,88.14,15.99,,92.0,,86.96,,,,81.37,,99.08,92.62,,94.01,96.05,122.08,,114.5,70.52,59.87,,67.42,18.38,48.88,104.22,48.55,23.44,,,111.33,106.78,,,,90.46,101.44,37.71,,96.84,,100.07,,40.68,29.19,32.18,85.15,,,83.0,97.37,108.75,56.33,62.61,77.54,,109.78,,96.97,99.21,84.37,,84.39,,47.16,84.05,,97.21,,108.83,82.23,43.82,102.69,,37.71,,93.11,107.09,104.5,93.79,92.04,20.44,29.93,77.79,,23.96,101.81,66.31,21.92,88.63,80.63,87.3,,,91.67,91.04,49.37,13.53,45.25,63.47,42.19,45.22,117.55,,119.56,66.99,9.16,35.11,83.68,,111.56,87.42,22.81,96.32,67.63,,69.09,82.78,82.6,101.09,96.43,,90.05,81.06,86.71,16.48,79.64,,42.99,93.48,22.51,89.39,84.54,,,,95.35,98.43,30.31,,78.05,,117.57,,89.18,82.53,,87.27,36.64,68.59,101.48,93.81,69.18,80.23,,71.68,55.62,45.31,,,81.51,84.94,,95.17,,,95.12,,105.71,95.05,102.75,87.87,,73.87,,,88.82,42.38,,
2006,29.69,84.33,83.6,,86.15,,,92.96,89.11,100.64,,100.42,,82.07,83.68,47.08,106.93,,158.69,76.17,,89.7,46.45,86.59,,78.85,,110.55,87.09,92.41,14.24,14.68,81.76,40.75,23.89,100.44,88.12,16.35,,92.0,74.21,90.29,,,,88.22,,99.03,93.41,,93.14,97.46,118.17,,113.64,,61.95,,67.13,,50.4,104.03,52.38,27.27,,79.2,110.28,106.93,,,,92.87,102.49,39.62,,96.82,,,,42.55,32.45,34.77,,,57.35,83.15,97.76,107.52,57.22,65.71,78.49,,109.6,,96.71,99.53,,,86.77,99.44,48.8,82.25,,96.78,,101.01,82.81,43.66,103.97,,38.86,,97.45,107.01,107.0,94.22,92.98,23.04,31.87,76.84,,25.94,97.53,70.16,22.57,86.69,82.7,,,,91.79,92.12,52.46,15.86,47.21,62.47,57.15,42.85,118.43,,117.91,66.5,10.58,34.42,,,111.53,89.8,27.57,100.77,67.55,,68.78,85.71,80.38,100.6,95.66,,91.35,85.68,86.49,18.2,79.28,,,,24.39,89.72,77.85,,,,95.54,97.23,34.89,,80.72,,117.27,,,87.13,,,35.41,70.23,101.2,94.17,70.67,81.2,,71.68,,47.14,97.87,,83.57,88.55,,,,,97.16,,98.47,,102.32,88.73,,76.4,,,90.49,,,
2007,29.09,86.22,73.52,,84.92,,111.46,92.61,89.97,104.85,,100.1,,85.14,,47.9,108.9,,159.44,75.28,,,50.23,86.05,81.04,79.33,,107.74,88.99,93.15,15.37,15.72,80.44,43.97,32.74,101.27,90.2,18.87,,91.55,78.35,93.01,,34.51,,89.66,,99.01,93.36,,92.91,97.72,117.99,,113.19,79.92,63.45,,66.97,,47.47,105.09,56.16,30.31,,78.85,109.04,106.69,,,,99.75,102.01,43.75,,95.98,,113.27,,44.41,,,84.95,,59.27,84.07,97.86,106.33,59.59,73.13,78.08,50.5,111.23,,96.23,99.84,87.49,,87.72,,50.91,82.26,,96.71,,101.3,82.94,44.59,103.92,,41.73,,,106.13,106.93,94.91,94.03,25.45,31.57,74.91,,28.53,100.52,72.85,,86.72,84.09,,,,,92.52,55.6,18.62,47.16,63.03,49.43,42.57,119.84,,119.57,69.19,10.21,31.57,84.0,,111.64,92.09,29.48,101.07,68.02,,69.0,88.65,79.65,100.35,99.31,,91.99,84.26,86.55,20.39,78.12,,46.47,92.2,,90.44,84.63,,,,95.33,99.24,35.49,6.08,82.55,,117.49,,109.23,91.36,,100.53,35.24,70.88,101.0,95.07,71.29,82.06,,76.17,,43.75,102.24,,86.76,90.73,,,,23.87,97.69,,97.78,,92.92,89.77,,78.76,,,90.7,,,
2008,39.09,87.83,80.21,,85.18,22.32,121.37,93.5,89.16,96.91,,100.13,,85.35,88.53,45.96,110.28,116.76,160.47,75.04,,,53.49,85.37,85.07,74.58,,,91.63,92.38,18.1,,81.92,47.02,37.06,102.27,94.56,21.46,,91.54,82.92,94.23,,36.82,,90.48,,99.0,93.33,,92.37,98.08,117.27,,111.16,78.76,,,65.72,,48.6,105.4,,31.64,,79.02,108.3,106.43,,,48.27,101.47,103.24,46.25,111.97,,,113.26,,45.43,33.38,,86.29,,59.36,85.7,98.38,106.23,62.68,71.43,81.53,,111.29,,95.04,100.29,88.59,,88.45,,57.13,81.64,,96.35,,99.54,,45.82,104.9,,44.7,,,107.57,106.11,95.76,89.82,27.83,34.05,75.17,,31.97,101.42,75.9,18.13,86.22,86.08,,,147.65,,93.03,57.89,20.9,49.85,,60.18,48.65,121.51,,118.05,67.56,10.57,34.85,84.03,,111.52,93.22,29.69,,69.2,,70.41,89.84,80.57,99.95,101.61,,97.63,94.54,87.05,22.1,,95.74,43.59,,30.73,91.32,81.16,,,,94.75,99.93,,,81.68,,117.21,,108.97,96.22,,104.76,37.75,71.82,101.52,95.51,71.66,83.09,,75.95,54.52,,103.85,,88.11,89.06,,,,,97.74,,98.82,,88.05,88.23,,80.47,,,89.95,39.71,,
2009,44.4,89.32,96.51,,86.73,23.85,117.82,96.64,94.77,99.52,,100.59,,84.88,89.86,49.73,109.86,114.91,159.66,74.64,,,58.51,83.75,86.34,,,105.43,95.49,92.52,19.54,21.44,81.02,,40.93,102.96,,23.49,,89.86,88.78,98.27,,38.44,,96.78,,98.94,92.16,,91.93,97.91,117.13,,112.0,80.71,85.97,63.79,66.28,,49.0,107.43,57.97,32.17,,79.21,107.7,106.24,,,49.37,98.02,103.31,48.27,109.59,,,104.54,,48.5,,,90.74,,,86.57,99.74,106.48,61.8,75.83,83.82,,114.39,,95.8,100.18,90.96,,,,57.87,,,96.89,,99.44,84.99,47.43,99.42,,48.74,,,105.76,104.76,,89.31,29.11,34.64,75.12,,35.05,,77.01,19.63,86.66,85.94,,,,99.49,95.61,60.91,23.75,49.92,,,49.94,122.75,,125.81,,11.1,38.5,84.14,,111.07,98.99,29.59,,70.83,,71.37,93.46,83.89,99.65,105.08,88.22,97.2,103.39,89.88,26.55,78.84,95.57,49.14,92.77,,92.45,80.97,,,,94.4,98.97,,,83.71,,117.36,,107.34,97.75,,107.63,42.25,69.87,101.43,95.85,72.88,84.09,,77.78,65.47,,104.44,,86.05,80.19,,108.94,,,97.38,,100.63,,89.29,89.04,,81.39,,,89.8,,,
2010,50.41,93.68,100.71,,89.98,27.68,114.84,99.23,100.52,96.16,,100.26,83.09,85.45,90.04,51.19,107.45,111.08,160.66,75.1,,93.19,62.86,88.95,83.72,,,106.62,97.92,94.18,21.28,24.4,83.47,,44.04,102.5,,23.11,,91.0,91.53,99.95,,38.13,,99.95,,98.9,92.33,,91.44,98.65,118.94,,108.8,77.97,91.56,65.26,67.7,,48.73,110.89,63.55,33.75,,,108.61,106.42,,,48.53,,104.89,,,107.82,,113.01,,52.44,,,95.12,,66.08,87.91,102.0,108.82,65.35,77.0,83.9,,118.1,,96.51,101.4,89.95,,87.36,100.63,,,,97.29,,99.44,86.56,48.93,102.82,,53.43,,,108.88,105.07,100.08,91.16,,34.84,77.24,,37.8,105.11,,20.12,86.91,87.27,,,,92.13,99.0,63.27,25.88,50.89,,,56.34,124.57,,119.13,67.93,12.69,43.32,85.43,,112.98,,29.9,,72.45,,73.04,95.76,,100.21,107.52,87.04,98.15,102.47,,32.4,80.73,95.73,50.17,,36.97,92.61,76.17,,109.33,,94.78,98.54,48.36,,85.13,,122.62,93.78,108.38,97.63,,108.48,42.99,73.31,102.25,96.61,73.87,85.0,33.36,85.47,67.89,,105.64,,85.8,84.2,,,,26.33,98.14,,103.46,,98.66,89.98,53.75,81.33,,,88.76,40.94,,
