Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2001,,,15.44,,,,,58.79,33.66,29.23,,,,,,6.42,40.89,54.34,56.71,15.09,4.37,,,,17.21,7.31,,44.45,13.97,41.04,1.12,1.06,1.39,2.29,4.7,,21.64,0.84,,,9.23,26.38,,,4.21,,,36.37,26.11,,21.61,32.03,61.37,0.66,,,,28.2,18.9,,2.46,58.72,,1.46,,,85.95,50.45,,7.46,,44.22,,,,59.92,,,,,,,,,,,42.35,46.94,10.39,14.23,20.27,,50.67,,50.48,53.45,15.83,,,,2.83,,,77.34,,18.31,40.62,3.07,63.49,31.89,2.27,,56.86,,57.35,9.92,50.43,1.97,0.35,26.42,,1.95,24.99,,3.38,16.45,21.38,,,,33.14,18.93,10.39,0.64,11.61,7.42,,4.38,52.98,,,,,,24.36,,69.96,,,36.34,41.68,,19.31,29.83,30.47,56.35,,,18.69,28.05,60.39,1.54,,,,19.77,,37.82,,2.04,,,30.82,60.85,,,,,61.0,,,,,,7.83,,70.01,39.22,,16.83,0.66,39.02,,,4.63,6.04,20.35,25.04,,,,2.85,52.91,,57.49,,37.78,13.3,3.87,,9.23,,25.85,,,
2002,,16.39,17.13,,6.83,0.75,,62.06,35.86,28.92,,,,,,6.14,,56.87,58.11,16.98,5.13,,,,17.41,7.64,,48.31,13.08,41.43,1.35,1.65,3.43,2.56,5.12,58.42,19.24,,,40.27,11.72,26.51,,,3.77,,,39.16,27.45,,25.1,36.89,64.22,0.94,,,,29.32,19.63,,2.29,61.75,4.42,1.66,,,86.79,50.25,,,,46.91,,,,66.89,,,,9.34,,,,,,,47.36,52.61,10.78,14.8,19.09,12.6,53.53,,54.91,56.32,16.61,,32.28,,2.83,,,80.72,,19.27,43.05,4.1,67.81,33.28,2.26,,60.76,,63.07,11.63,66.04,2.01,0.37,28.73,,1.94,24.26,15.76,2.99,15.12,22.32,,,,34.66,17.72,10.5,0.73,,6.07,,4.96,54.25,,,17.73,,,26.81,,72.32,,,36.42,40.82,,28.35,30.16,30.67,59.54,,,17.29,33.7,65.01,1.87,,,,21.19,,35.67,,1.92,,,32.74,66.65,,,,,63.74,,,,,,8.77,11.28,74.74,39.96,12.55,16.98,0.7,40.22,8.03,,11.81,8.33,22.03,25.93,,,,3.55,56.65,,61.13,,39.58,13.74,4.95,37.82,9.58,,27.61,9.7,,
2003,1.38,16.37,18.35,,7.34,2.77,,64.4,36.66,29.78,,,,,29.35,6.2,,59.48,59.61,16.19,5.66,,,,19.22,8.87,,,12.83,42.85,1.52,,4.14,3.17,5.17,,19.79,0.97,,43.52,14.39,,3.4,,3.8,,,42.38,32.58,,31.96,39.21,68.17,1.14,,33.68,,26.39,20.47,,,64.22,,2.35,,14.61,88.29,52.32,,7.67,,48.03,,,,72.91,,,,,,,7.25,,15.54,32.22,54.63,60.03,11.28,15.9,20.34,,55.85,,54.52,60.01,18.52,,36.06,,,,,84.46,,19.58,39.57,4.86,71.03,33.02,2.73,,61.6,20.75,69.63,12.06,80.23,2.18,0.38,31.47,0.21,,30.09,,3.2,15.76,23.05,,,,36.81,18.68,10.93,0.98,,6.41,,4.88,55.0,,,,0.81,9.57,27.82,,77.97,14.33,2.39,,44.33,,27.0,30.23,29.88,60.62,,,15.75,38.91,69.04,2.34,,,,26.13,,39.58,,,,,34.55,69.6,,,,,65.53,,,,,,8.13,,80.49,43.05,13.14,18.3,0.89,41.29,,,6.82,8.46,26.12,29.72,,,,3.79,60.26,,61.46,,41.76,13.84,4.86,39.55,10.06,,31.41,9.27,,
2004,1.39,19.13,19.0,,7.66,2.07,,64.89,37.08,29.29,,,,,,5.73,,60.87,62.04,15.59,5.72,,,,21.41,9.36,,65.82,13.33,43.69,,2.16,5.6,3.18,5.16,,,1.25,,44.33,16.78,29.5,,,,25.99,,44.08,52.49,,36.02,45.42,74.97,1.44,,,,27.68,21.52,,1.76,65.78,5.33,2.66,,14.5,90.14,53.46,,,1.02,46.92,,,,80.41,,,,,2.32,,10.43,,15.63,32.3,61.51,66.58,11.6,16.32,22.32,15.45,58.92,,53.91,63.33,18.63,,40.47,,2.92,,,89.8,,19.97,38.5,5.66,74.61,34.89,,,,24.61,74.9,,69.07,2.53,0.46,30.3,,,26.62,,3.25,17.29,23.7,,,,39.72,22.11,11.06,1.22,,,,5.66,56.77,,,,0.78,9.82,28.25,,78.61,15.15,3.0,,43.14,,27.24,32.07,29.35,61.74,,,16.89,41.8,69.82,2.73,,,,29.5,4.91,41.05,,,,,36.66,73.35,,,,,67.47,,,14.01,,,9.84,,83.03,44.88,15.17,19.54,1.21,42.31,,,,11.54,28.51,30.77,,,,3.66,63.44,,59.45,,42.77,13.85,4.88,41.56,,,35.44,8.83,,
2005,,22.39,20.83,,7.88,2.55,,63.73,38.34,34.42,,,,,22.5,6.3,,63.72,62.82,16.05,5.65,,4.87,,24.66,9.04,,,13.19,46.23,2.16,2.19,7.12,3.83,5.95,,,1.46,,50.27,18.56,32.25,,,,,,47.29,60.21,,34.1,49.12,80.81,2.16,,,,28.8,22.32,,,67.98,4.68,2.85,,14.41,91.94,53.88,,,,51.82,,5.07,,90.35,,,,,3.11,2.17,10.94,,,32.99,64.98,69.83,11.32,16.87,23.58,15.5,58.87,,54.9,65.33,16.82,,39.71,,2.96,,,95.37,,,39.45,7.7,75.42,36.91,3.5,,,24.48,79.73,,57.06,2.62,0.45,27.69,,,32.21,,2.99,21.05,24.13,,,,43.86,24.93,11.64,1.5,,7.15,,7.11,58.79,,,,0.93,10.44,29.79,,78.45,17.12,4.38,,41.77,,27.92,32.37,28.59,63.78,,,14.72,45.46,72.22,2.85,,,,31.17,5.41,44.41,,,,,40.77,81.27,,,,,68.14,,,13.65,,,11.05,,81.74,45.25,18.33,20.07,1.42,44.56,,,,,30.29,33.22,,,,,66.89,,59.27,80.63,44.38,9.84,,,16.33,,38.79,8.8,,
2006,,26.21,21.51,,9.32,2.48,,67.12,41.81,32.74,,,19.79,,19.72,7.24,,66.49,63.37,16.88,6.48,33.19,5.11,,27.67,9.88,,,13.06,47.79,2.27,2.22,8.2,6.2,6.96,,19.35,,,49.32,20.51,34.37,,4.3,,,,48.6,84.95,,34.3,49.88,78.51,2.45,,,,28.73,23.15,,,68.8,4.45,,,,93.43,53.88,,,,42.81,,4.57,,95.08,,,,,5.42,2.52,10.98,,,33.72,66.4,72.97,12.14,16.96,26.32,,58.44,,54.31,67.28,16.7,,37.87,56.31,,,,99.95,,,40.09,8.91,74.6,38.16,3.72,,,29.82,82.45,9.85,49.78,2.81,0.48,28.25,,,31.23,,3.4,23.61,24.57,,,,47.46,29.19,12.14,2.22,,6.8,,7.6,59.83,,,,0.94,,29.25,,77.93,19.23,4.45,,42.78,,,33.83,28.84,65.09,,,12.84,54.14,73.44,3.64,,,,29.87,5.58,47.08,,,,,45.03,85.27,,,,,68.96,,,10.3,,,12.48,,79.34,46.28,21.04,21.2,,44.42,,5.08,,,31.05,37.31,,,,3.56,71.94,,59.19,,45.34,9.96,,,17.24,,40.63,8.47,,
2007,,30.23,23.77,,,,,66.91,44.43,34.94,,63.8,19.36,,,7.87,59.99,69.53,62.46,17.89,7.76,30.48,5.54,,31.39,10.02,,,13.34,51.24,2.42,2.32,9.36,7.51,7.43,63.83,21.9,,,54.72,21.45,35.48,4.53,4.28,,,8.78,50.53,105.41,,36.23,54.18,78.24,2.72,,,,29.18,24.65,,,68.82,,,,,95.08,52.95,,,,41.55,,5.72,,90.54,,,,17.24,8.35,,11.06,,,42.61,66.27,73.14,13.83,17.8,31.04,,58.3,,57.1,68.87,,,38.73,,,,,102.95,,,39.82,11.42,73.04,40.65,,,,31.6,82.52,,46.43,3.18,0.49,29.86,10.3,,34.67,,3.86,24.52,25.15,,,,47.76,36.33,11.61,3.17,10.92,,,9.49,60.39,,,,0.89,,35.24,,77.04,20.41,5.03,,42.98,,31.28,,,66.94,,78.95,11.82,60.28,76.13,3.89,,,,29.26,6.21,48.42,,,,,50.56,87.27,,,,,69.23,,,9.23,,,12.21,,75.39,47.82,21.67,22.17,1.46,47.75,,5.7,,,31.34,39.39,,,,,76.26,,58.85,,50.39,9.83,,,19.23,,44.15,9.56,,
2008,,31.68,,,11.74,,,68.82,46.0,35.15,,66.2,19.05,,,8.84,,70.51,62.76,18.74,7.66,31.51,6.57,,34.59,13.94,,,14.05,52.65,2.94,2.55,11.62,8.7,8.05,64.3,32.88,2.01,,56.77,21.85,37.94,,5.36,,,8.35,52.35,117.72,,40.85,57.92,74.86,2.91,,,38.19,28.99,25.46,,,67.84,,3.42,,,95.87,52.48,,,,38.06,,7.7,,,,,,,9.41,,10.52,,17.42,55.8,63.97,73.58,15.81,20.81,37.64,,54.02,,56.5,67.58,21.67,,41.37,,,,,103.14,,,44.1,13.25,72.36,41.94,,,,36.73,85.75,10.67,48.17,3.27,,33.26,11.38,4.92,33.32,,3.98,27.03,25.78,,,,49.98,43.56,12.67,3.65,,9.57,,10.48,61.02,,,,1.02,,39.64,,73.59,20.45,4.97,,43.1,,37.12,,29.07,70.29,,84.6,11.34,73.45,77.53,4.18,,65.98,,29.22,7.81,49.42,,,,,54.16,88.6,,,,,69.4,,19.76,16.68,,,13.59,,71.16,49.69,22.28,22.64,,46.45,,,,,32.53,40.77,,0.12,,3.79,79.73,,57.43,,51.06,9.9,,78.76,20.08,,45.39,9.73,,
2009,4.02,32.92,30.76,,,,14.83,71.04,47.38,33.99,,67.99,19.06,,,10.82,74.01,75.9,64.98,21.97,9.75,39.85,6.29,,36.37,21.4,,71.03,15.31,55.01,3.28,2.74,14.56,10.58,9.21,63.61,,2.07,,59.99,23.27,39.51,6.48,6.35,5.82,,8.18,51.96,114.49,,47.7,61.41,73.11,3.66,,,,29.61,25.83,,3.45,67.85,,4.96,,,92.02,52.77,,,,28.26,,8.12,,,,54.38,,15.11,9.42,,9.96,,,56.58,61.98,72.47,16.82,23.05,37.84,,56.5,,59.08,66.95,21.87,,42.06,,3.97,,30.58,102.66,,,42.56,16.41,73.05,42.07,,,,34.49,89.25,,56.21,3.47,,35.24,,5.45,35.79,,4.05,31.4,26.21,,,,53.36,51.66,13.17,3.95,,,,10.49,61.43,,,,1.24,,39.84,,73.07,21.97,6.09,,42.99,,40.0,,28.19,72.68,,86.56,10.17,81.53,77.87,5.07,,,3.93,29.68,7.92,50.45,,,,,56.77,87.97,,,,,71.43,,,18.06,,,14.06,,71.01,50.3,23.6,22.43,,46.2,16.4,,,,34.06,46.94,,,,4.18,82.5,,59.1,,50.94,9.82,,78.74,21.51,,44.17,10.25,,
2010,,43.33,30.98,,,,16.6,74.19,47.75,35.23,,75.04,19.26,,,,68.31,82.67,66.86,21.44,13.14,37.24,6.57,,37.24,18.96,,,14.63,58.35,3.37,3.12,17.21,12.31,11.33,61.88,43.13,2.16,,66.34,25.29,41.53,6.35,,,,7.47,57.07,94.17,25.35,48.31,64.93,72.5,3.65,,48.6,,30.51,26.21,,4.12,68.71,,6.83,,,93.19,54.88,,,1.87,31.6,,,,101.69,,,,15.78,10.62,,10.81,,19.17,59.03,60.75,78.5,18.7,23.81,43.62,,63.13,,61.85,65.38,25.32,,37.76,47.34,,,,101.67,,,41.19,16.87,69.05,42.31,,9.41,,36.02,86.57,18.2,63.4,3.62,0.74,36.68,,5.67,36.83,,4.6,33.08,27.17,,,,56.02,55.3,14.08,4.75,,,,13.43,63.7,,,15.42,1.29,9.6,38.15,,72.12,27.85,,,43.98,,37.79,,29.41,76.56,,90.49,9.64,75.23,,5.77,,66.41,4.23,34.44,7.59,49.53,,,,,58.04,90.25,,,16.58,,76.38,16.17,,12.62,,13.15,14.55,,73.08,52.8,25.69,22.76,2.14,51.24,17.59,9.12,,,34.64,56.75,,0.31,,3.9,81.91,,59.85,,51.89,8.52,,,24.31,,45.95,9.8,,7.37
2011,3.76,49.4,32.61,,,6.33,15.0,77.43,47.82,37.13,,77.26,19.65,,46.54,13.57,65.04,91.26,67.7,21.42,12.28,38.7,7.7,,39.78,16.94,,,17.1,59.82,3.94,,19.62,14.14,12.25,63.15,39.36,2.28,,70.82,26.81,45.29,8.78,7.69,7.92,44.94,3.3,59.34,79.02,23.14,46.54,66.8,75.93,5.21,,47.65,,25.87,27.2,,,71.02,6.76,7.18,,,93.29,55.63,,,2.94,34.36,,11.16,,105.81,,,,16.49,10.68,,11.15,,,60.22,60.0,79.92,23.83,25.46,48.57,,67.8,,61.95,64.25,24.96,,37.42,50.95,,,30.04,100.82,,,40.95,17.67,67.95,45.56,,,,43.68,84.06,,70.35,4.01,0.85,35.66,,5.12,39.45,,5.01,34.23,28.04,,,,56.74,59.01,15.96,5.04,14.2,,,13.43,75.52,,,15.86,1.33,10.15,,,71.06,31.56,7.46,,41.97,,,,30.83,75.8,,90.81,12.6,66.79,80.16,6.84,,64.3,3.74,28.94,10.01,52.14,2.92,,,,57.15,87.19,,,17.61,,80.72,14.82,,16.33,,20.17,14.59,,71.92,53.14,25.64,22.29,,52.14,,9.9,,,34.49,61.52,,,,4.35,84.8,,59.34,,52.56,8.52,,,26.62,,48.41,9.32,4.01,5.61
2012,,58.62,33.71,,13.28,,24.93,78.46,41.48,38.01,,79.55,20.44,,47.36,13.67,,98.6,69.75,23.88,13.35,38.27,7.6,,41.88,20.84,43.23,,22.14,62.16,4.37,3.84,19.4,,13.26,63.62,35.36,,,75.08,29.33,47.47,9.48,7.81,9.07,47.32,,62.03,61.73,23.92,45.86,66.93,77.75,,,48.63,39.25,26.46,27.95,,,72.94,,7.6,,,91.55,57.91,,,2.66,32.5,,11.43,,110.12,,,,16.93,10.05,,11.63,,18.85,60.95,60.68,79.58,24.94,29.57,54.08,,68.2,,63.59,62.34,27.46,,43.92,52.7,,,,98.29,,,43.04,17.51,66.64,44.83,11.03,11.26,,42.5,79.75,19.12,53.93,4.07,,36.93,,6.62,42.55,28.94,5.46,40.37,29.35,,,,61.05,60.31,19.18,5.33,13.66,,,,75.81,,,16.49,1.53,,39.8,,71.7,,8.5,,43.84,,,,31.31,75.04,,91.75,12.29,54.95,80.53,6.71,,59.85,7.84,36.04,10.13,54.01,1.56,,,,57.04,89.02,,,17.26,,82.89,16.4,,10.27,,19.58,15.26,,68.74,54.84,30.27,22.71,4.03,50.21,,10.96,,,34.28,70.1,,,,3.72,83.88,,59.15,,54.71,7.85,,,26.91,,47.87,,3.98,6.42
2013,,63.84,35.5,,14.76,9.12,,78.77,41.62,16.98,,80.96,21.44,,42.93,13.65,,101.42,71.78,23.85,15.31,37.14,10.34,,47.26,25.63,44.34,,24.02,68.2,4.6,4.63,21.28,,15.45,65.77,33.77,,,79.87,32.76,50.75,9.47,6.55,8.57,47.84,8.12,66.71,48.0,23.08,47.53,66.32,80.42,,,46.36,39.77,28.52,28.11,,,75.45,6.18,,,,91.24,59.85,,,,39.47,60.9,11.76,,112.71,,,,19.66,10.48,,,,19.39,68.09,57.21,78.37,24.39,30.44,56.62,,71.7,,62.06,60.89,25.82,62.84,,53.47,,,,96.34,,,46.14,19.1,69.08,48.07,10.56,,,,73.53,,61.86,4.21,,38.23,,6.13,44.04,,5.78,41.4,30.33,,,,64.66,60.43,22.55,5.71,,,,16.15,,,80.39,16.36,2.24,,38.95,,75.86,35.15,8.9,67.26,,,,,33.79,73.32,,92.38,14.87,51.38,82.8,6.23,,,,43.16,10.42,56.7,3.5,,,,55.25,87.86,,,18.09,,85.21,17.99,,13.99,,19.53,17.54,,65.78,56.18,33.14,22.77,3.76,49.33,,11.09,,,33.02,79.65,,,,4.02,81.53,,56.76,88.73,59.95,7.98,,,26.94,,45.95,,,7.63
2014,8.31,65.55,36.06,,13.7,,,81.17,44.41,17.72,,81.02,23.16,,44.15,13.65,,99.85,74.04,23.86,15.2,35.1,,,48.99,24.62,47.16,,31.53,72.98,4.92,3.86,21.79,,16.41,67.23,33.43,3.5,,83.66,43.88,53.18,9.63,,,50.76,8.37,68.64,40.51,23.67,53.1,67.4,81.31,,,49.32,,29.17,27.37,,3.89,76.2,,7.74,,69.23,89.99,61.51,,,,45.77,65.18,15.21,,119.1,,,,18.35,10.89,,,,19.66,69.69,52.82,80.4,25.99,30.53,64.97,,73.81,,62.11,60.88,,62.73,,51.71,,,,94.44,,54.02,44.06,18.61,70.9,42.53,10.45,,,37.49,68.9,,69.3,4.73,,38.68,13.66,5.7,44.49,,,40.04,31.21,,52.15,,66.93,63.22,25.45,6.35,,18.75,,15.42,,,80.71,17.15,2.67,,39.32,,78.24,41.18,8.93,,44.97,,,,35.96,70.24,,94.02,17.31,51.1,84.52,7.36,,,9.28,51.21,10.83,58.37,7.25,,,,53.88,84.38,,,18.14,,88.0,18.17,89.69,17.05,,23.84,17.09,,64.95,58.07,47.38,24.48,,49.76,,10.77,,,33.08,87.0,7.81,13.59,,4.57,83.78,,56.49,88.63,59.83,7.99,,,32.87,,45.43,,,
2015,,61.96,38.33,,13.88,8.68,,83.76,45.47,16.78,119.68,82.26,25.48,,43.64,15.59,,98.03,76.42,23.27,12.91,31.94,,,48.62,27.17,48.43,43.12,30.81,78.3,4.93,5.39,20.58,14.65,16.96,67.4,30.68,3.33,,86.42,47.44,54.8,,,11.59,51.65,8.9,68.44,36.22,19.0,60.1,67.23,83.3,,,51.75,44.54,32.81,27.21,,3.31,74.58,,,,68.35,89.66,62.79,,,,51.18,68.23,15.73,,,,92.88,,22.07,8.7,,,,20.27,68.7,50.07,75.64,27.28,33.03,72.12,,77.23,,60.82,60.94,26.41,62.47,36.63,49.03,9.3,,28.02,93.97,,58.7,44.67,18.18,74.3,38.82,9.69,,,33.54,67.74,20.29,76.17,4.73,,44.87,,5.28,46.95,,5.87,37.76,31.97,,52.1,,71.43,63.94,28.7,6.81,,20.02,,13.21,80.16,,82.18,17.34,3.43,,42.08,,79.21,45.19,8.61,,47.93,,,,38.1,69.37,61.86,98.27,15.93,49.36,84.24,7.53,,,12.9,56.55,10.93,58.95,16.43,,,4.19,52.72,82.2,,,18.86,,88.57,18.69,92.19,17.01,,23.56,17.21,,66.43,60.82,51.17,26.46,4.16,,,11.04,,,33.06,95.56,,12.52,,4.92,76.86,,56.4,88.89,57.79,8.05,,,31.09,,46.58,,,10.6
