Country Name,Country Code,"Population, total",Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Life expectancy at birth, total (years)",GDP (current US$),Tax revenue (% of GDP),Expense (% of GDP),"Central government debt, total (% of GDP)","Inflation, consumer prices (annual %)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Access to electricity (% of population),Fixed broadband subscriptions (per 100 people),"Hospital beds (per 1,000 people)"
Afghanistan,AFG,38972230,53.78,2.42,62.58,19955929052,,,,,,,10.86,97.7,0.07,0.34
Albania,ALB,2837849,67.71,15.82,76.99,15162734205,16.98,19.34,83.27,1.62,100.02,95.93,61.59,100,17.72,2.91
Algeria,DZA,43451666,63.34,6.02,74.45,1.65E+11,,,,2.42,110.33,,53.61,99.7,8.61,
American Samoa,ASM,46189,65.35,6.45,,721000000,,,,,,,,,,
Andorra,AND,77700,72.47,14.19,,2891001149,,,,,88.72,96.46,15.1,100,48.66,
Angola,AGO,33428486,52.1,2.59,62.26,48501561204,,,,22.27,,,,47,0.36,
Antigua and Barbuda,ATG,92664,71.11,9.8,78.84,1410796296,,,,0.63,,,,100,8.71,3.29
Argentina,ARG,45376763,64.62,11.73,75.89,3.86E+11,8.04,19.48,,,110.62,112.42,99.27,100,21.18,3.2
Armenia,ARM,2805608,67.25,12.41,72.17,12641698583,21.86,26.58,63.4,1.21,96.62,94.89,53.31,100,14.89,4.59
Aruba,ABW,106585,67.71,14.94,75.72,2558906304,,,,,109.25,132.91,,100,17.69,
Australia,AUS,25649248,65.22,16.23,83.2,1.33E+12,22.56,30.21,69.22,0.85,99.9,137.49,110.14,100,35.35,
Austria,AUT,8916864,66.45,19.15,81.19,4.35E+11,24.43,37.15,99.91,1.38,101.56,101.69,88.71,100,29.21,7.06
Azerbaijan,AZE,10093121,69.3,6.47,66.87,42693000000,15.19,27.27,22.25,2.76,98.24,91.4,36.39,100,19.6,
"Bahamas, The",BHS,406471,71.55,8.28,72.68,9958200000,18.66,26.89,82.26,0.04,,,,100,20.97,2.69
Bahrain,BHR,1477469,76.5,3.2,79.17,34621807713,2.92,27.03,115.52,-2.32,,,56.63,100,10.18,
Bangladesh,BGD,167420951,67.38,5.63,71.97,3.74E+11,7,8.15,,5.69,118.43,69.01,22.54,96.2,6.05,
Barbados,BRB,280693,67.47,15.16,77.39,4779756550,,,,,99.53,104.72,,100,45.44,5.66
Belarus,BLR,9379952,66.61,16.55,72.46,61371755326,12.02,18.38,38.59,5.55,94.42,95.01,76.89,100,34.82,
Belgium,BEL,11538604,64,19.21,80.7,5.26E+11,21.17,30.5,119.27,0.74,102.06,151.73,79.5,100,41.02,5.52
Belize,BLZ,394921,66.42,4.81,72.85,2047727810,,,,0.12,110.31,85.95,25.7,96.8,9.21,
Benin,BEN,12643123,54.2,3.09,60.09,15686741884,,,,3.02,109.15,45.74,10.8,41,0.23,0.47
Bermuda,BMU,63893,66.05,19.02,81.14,6887147000,,,,,90.49,80.45,,100,35.72,
Bhutan,BTN,772506,70.44,6.03,71.61,2457604042,12.28,24.08,111.01,5.63,103.8,,16.85,100,0.41,2.12
Bolivia,BOL,11936162,63.62,4.98,64.47,36629843806,,,,0.94,98.7,90,,97.2,7.89,1.36
Bosnia and Herzegovina,BIH,3318407,67.33,17.74,76.23,20226036564,18.75,31.2,44.73,,88.85,85.3,40.88,100,23.35,
Botswana,BWA,2546402,63.28,3.55,65.65,14960291106,22.27,33.86,19.62,1.89,,,24.01,71.8,3.59,2.26
Brazil,BRA,213196304,69.87,9.29,74.01,1.48E+12,12.72,38.48,98.71,3.21,105.5,104.13,54.57,99.7,17.42,2.43
British Virgin Islands,VGB,30910,75.05,9.07,75.85,,,,,,111.27,,32.44,100,19.09,
Brunei Darussalam,BRN,441725,71.89,5.47,74.8,12005799654,,,,1.94,97.53,86.96,32.7,100,15.89,3.88
Bulgaria,BGR,6934015,63.72,22.27,73.66,70368758395,20.28,28.15,32.26,1.67,96.54,101.35,85.53,99.7,30.5,7.77
Burkina Faso,BFA,21522626,53,2.56,59.73,17725010531,13.43,17.18,73.39,1.88,87.85,39.43,7.68,18.5,0.07,0.2
Burundi,BDI,12220227,50.81,2.47,61.57,2649680261,15.79,17.67,,7.32,105.16,46.39,5.22,9.1,0.03,
Cabo Verde,CPV,582640,67.59,5.37,74.81,1821565614,18.39,30.88,,0.61,96,87.31,,93.7,4.83,
Cambodia,KHM,16396860,65.1,5.27,70.42,25872797892,17.89,17.41,,2.94,111.01,54.84,14.44,86.4,1.4,
Cameroon,CMR,26491087,54.64,2.74,60.83,40773241177,10.87,12.06,,2.44,107.26,45.26,15.32,64.3,2.76,
Canada,CAN,38028638,66.11,18.02,81.66,1.66E+12,13.5,25.32,69.86,0.72,97.74,110.08,74.16,100,40.8,2.56
Cayman Islands,CYM,67311,75.58,7.53,,5655357984,,,,,94.11,97.4,47.55,100,46.59,
Chad,TCD,16644701,50.15,2.03,52.78,10715396042,,,,4.46,,,4.53,10.9,0,
Channel Islands,CHI,171113,68.39,16.3,81.26,9301349237,,,,,,,,100,,
Chile,CHL,19300315,68.99,12.4,79.38,2.54E+11,16.2,26.24,,3.05,99.7,103.69,89.11,100,19.43,2.03
