Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Manganese
Acerola,Fruits,0.012,32.0,7.7,0.0,8.999999999999999e-05,0.3,1.1,1.4e-05,0.0002,0.018,0.08,6.6,0.011,0.09,0.146,0.4,0.07,6e-07,0.007,767.0,3.8e-05,2e-05,0.0,6e-05,0.0004,0.00031,1e-05,1.678,0.0001,
Apple,Fruits,0.006,52.0,14.0,0.0,3e-05,0.17,2.4,3e-06,0.0001199999999999,0.005,0.01,11.0,0.011,0.05,0.107,0.26,0.03,0.0,0.001,54.0,3e-06,2e-05,0.0,3e-05,8.999999999999999e-05,6e-05,4e-05,0.0046,4e-05,4e-05
Apricot,Fruits,0.013,48.0,11.0,0.0,8e-05,0.39,2.0,9e-06,0.00039,0.01,0.17,9.1,0.023,0.08,0.259,1.4,0.03,1.0000000000000001e-07,0.001,1279.0,9.6e-05,3e-05,0.0,4e-05,0.0006,0.0002399999999999,5e-05,0.01,0.0002,8e-05
Dried fruit,Fruits,0.055,241.0,63.0,0.0,0.00034,0.51,7.3,1e-05,0.0027,0.032,0.07,55.0,0.071,0.07,1.162,3.4,0.02,2.2e-06,0.01,3604.0,0.00018,2e-05,0.0,7.000000000000001e-05,0.0026,0.00052,0.00014,0.001,0.00039,0.0002399999999999
Avocado,Fruits,0.012,160.0,8.5,0.0,0.00019,15.0,6.7,8.1e-05,0.00055,0.029,9.8,1.8,0.052,1.8,0.485,2.0,2.1,4.0000000000000003e-07,0.007,146.0,7e-06,7.000000000000001e-05,0.0,0.00013,0.0017,0.0014,0.00026,0.01,0.00064,0.00014
Banana,Fruits,0.005,89.0,23.0,0.0,8e-05,0.33,2.6,2e-05,0.00026,0.027,0.03,20.0,0.022,0.07,0.358,1.1,0.11,1e-06,0.001,64.0,3e-06,3e-05,0.0,7.000000000000001e-05,0.00067,0.00033,0.00037,0.0087,0.00015,0.00027
Blackberry,Fruits,0.029,43.0,9.6,0.0,0.00017,0.49,5.3,2.5e-05,0.00062,0.02,0.05,4.3,0.022,0.28,0.162,1.4,0.01,4.0000000000000003e-07,0.001,214.0,1.1e-05,2e-05,0.0,3e-05,0.00065,0.00028,3e-05,0.021,0.00053,0.00065
Blueberry,Fruits,0.006,57.0,14.0,0.0,6e-05,0.33,2.4,6e-06,0.00028,0.006,0.05,12.0,0.012,0.15,0.077,0.74,0.03,1.0000000000000001e-07,0.001,54.0,3e-06,4e-05,0.0,4e-05,0.0004199999999999,0.0001199999999999,5e-05,0.0096999999999999,0.00016,0.00034
Boysenberries,Fruits,0.027,50.0,12.0,0.0,8e-05,0.26,5.3,6.3e-05,0.00085,0.016,0.03,6.9,0.027,0.15,0.139,1.1,0.01,2.0000000000000002e-07,0.001,67.0,3e-06,5e-05,0.0,4e-05,0.00077,0.00025,6e-05,0.0031,0.00022,0.00055
Breadfruit,Fruits,0.017,103.0,27.0,0.0,8e-05,0.23,4.9,1.4e-05,0.00054,0.025,0.03,22.0,0.03,0.07,0.49,1.1,0.05,6e-07,0.002,0.0,0.0,0.00011,0.0,3e-05,0.0009,0.00046,0.0001,0.029,0.0001199999999999,6e-05
Carambola,Fruits,0.003,31.0,6.7,0.0,0.00014,0.33,2.8,1.2e-05,8e-05,0.01,0.03,3.9,0.012,0.18,0.133,1.0,0.02,6e-07,0.002,61.0,3e-06,1e-05,0.0,2e-05,0.00037,0.00039,2e-05,0.034,0.0001199999999999,4e-05
Cherimoya,Fruits,0.01,75.0,18.0,0.0,7.000000000000001e-05,0.68,3.0,2.3e-05,0.00027,0.017,0.06,15.0,0.026,0.19,0.287,1.6,0.23,,0.007,5.0,0.0,0.0001,0.0,0.00013,0.00064,0.00035,0.00026,0.013,0.00016,8.999999999999999e-05
Cherry,Fruits,0.016,50.0,12.0,0.0,0.0001,0.3,1.6,8e-06,0.00032,0.009,0.08,11.0,0.015,0.09,0.173,1.0,0.07,0.0,0.003,1283.0,6.4e-05,3e-05,0.0,4e-05,0.0004,0.00014,4e-05,0.01,0.0001,0.00011
Crabapple (Malus),Fruits,0.018,76.0,20.0,0.0,7.000000000000001e-05,0.3,,,0.0003599999999999,0.007,0.01,20.0,0.015,0.09,0.194,0.4,0.05,,0.001,40.0,2e-06,3e-05,0.0,2e-05,0.0001,,,0.008,,0.0001199999999999
Cranberry,Fruits,0.008,46.0,12.0,0.0,6e-05,0.13,3.6,1e-06,0.00023,0.006,0.02,8.4,0.011,0.06,0.08,0.46,0.01,1.0000000000000001e-07,0.002,63.0,3e-06,1e-05,0.0,2e-05,0.0001,0.0003,6e-05,0.014,8.999999999999999e-05,0.00027
Currant,Fruits,0.033,56.0,14.0,0.0,0.00011,0.2,4.3,8e-06,0.001,0.013,0.03,9.5,0.044,0.09,0.275,1.4,0.02,6e-07,0.001,42.0,2e-06,4e-05,0.0,5e-05,0.0001,6e-05,7.000000000000001e-05,0.041,0.00023,0.00019
Custard apple,Fruits,0.03,101.0,25.0,0.0,,0.6,2.4,,0.0007099999999999,0.018,,23.0,0.021,,0.382,1.7,0.23,,0.004,33.0,2e-06,8e-05,0.0,0.0001,0.0005,0.00014,0.00022,0.019,,
Dates,Fruits,0.039,282.0,75.0,0.0,0.0002099999999999,0.39,8.0,1.9e-05,0.001,0.043,0.04,67.0,0.062,0.02,0.656,2.5,0.03,3e-06,0.002,10.0,0.0,5e-05,0.0,7.000000000000001e-05,0.0013,0.0005899999999999,0.00017,0.0004,0.00029,0.00026
Elderberry,Fruits,0.038,73.0,18.0,0.0,6e-05,0.5,7.0,6e-06,0.0016,0.005,0.08,11.0,0.039,0.25,0.28,0.66,0.02,6e-07,0.006,600.0,3e-05,7.000000000000001e-05,0.0,6e-05,0.0005,0.00014,0.00023,0.036,0.00011,
Figs,Fruits,0.035,74.0,19.0,0.0,7.000000000000001e-05,0.3,2.9,6e-06,0.00037,0.017,0.07,16.0,0.014,0.14,0.232,0.75,0.06,2.0000000000000002e-07,0.001,142.0,7e-06,6e-05,0.0,5e-05,0.0004,0.0003,0.00011,0.002,0.00015,0.00013
Fruit salad,Fruits,0.011,50.0,13.0,0.0,5e-05,0.03,1.0,3e-06,0.00025,0.008,0.01,12.0,0.014,0.01,0.116,0.51,0.0,,0.005,600.0,3e-05,1e-05,0.0,1e-05,0.0003599999999999,5e-05,3e-05,0.0033,0.00014,0.00015
Gooseberry,Fruits,0.025,44.0,10.0,0.0,7.000000000000001e-05,0.58,4.3,6e-06,0.00031,0.01,0.05,5.9,0.027,0.32,0.198,0.88,0.04,6e-07,0.001,290.0,1.5e-05,4e-05,0.0,3e-05,0.0003,0.00029,8e-05,0.028,0.0001199999999999,0.00014
Goji berries,Fruits,0.19,349.0,77.0,0.0,,0.39,13.0,,0.0068,,,64.0,,,,14.0,0.0,,0.298,26822.0,,,,,,,,0.048,,
Grapefruit,Fruits,0.022,42.0,11.0,0.0,3e-05,0.14,1.6,1.3e-05,8e-05,0.009,0.02,9.1,0.018,0.04,0.135,0.77,0.02,1.0000000000000001e-07,0.0,1150.0,5.8e-05,4e-05,0.0,3e-05,0.0002,0.00026,5e-05,0.031,7.000000000000001e-05,2e-05
Grape,Fruits,0.014,67.0,17.0,0.0,4e-05,0.35,0.9,4e-06,0.00029,0.005,0.01,16.0,0.01,0.1,0.191,0.63,0.11,1.0000000000000001e-07,0.002,100.0,5e-06,8.999999999999999e-05,0.0,6e-05,0.0003,2e-05,0.00011,0.004,4e-05,0.0007199999999999
Peruvian groundcherry,Fruits,0.009,53.0,11.0,0.0,,0.7,,,0.001,,,11.0,0.04,,,1.9,,,,720.0,3.6e-05,0.00011,0.0,4e-05,0.0028,,,0.011,,
Guava,Fruits,0.018,68.0,14.0,0.0,0.00023,0.95,5.4,4.9e-05,0.00026,0.022,0.09,8.9,0.04,0.4,0.417,2.6,0.27,6e-07,0.002,624.0,3.1e-05,7.000000000000001e-05,0.0,4e-05,0.0011,0.00045,0.00011,0.228,0.00023,0.00015
Jackfruit,Fruits,0.024,95.0,23.0,0.0,8e-05,0.64,1.5,2.4e-05,0.00023,0.029,0.16,22.0,0.021,0.09,0.448,1.7,0.2,,0.002,110.0,5e-06,0.00011,0.0,6e-05,0.00092,0.0002399999999999,0.00033,0.014,0.00013,4e-05
Java plum,Fruits,0.019,60.0,16.0,0.0,,0.23,,,0.00019,0.015,,16.0,0.017,,0.079,0.72,,,0.014,3.0,0.0,1e-05,0.0,1e-05,0.00026,,4e-05,0.014,,
Jujube,Fruits,0.021,79.0,20.0,0.0,7.000000000000001e-05,0.2,,,0.0004799999999999,0.01,,20.0,0.023,,0.25,1.2,,,0.003,40.0,2e-06,2e-05,0.0,4e-05,0.0009,,8e-05,0.069,5e-05,8e-05
Kiwifruit,Fruits,0.034,61.0,15.0,0.0,0.00013,0.52,3.0,2.5e-05,0.00031,0.017,0.05,12.0,0.034,0.29,0.312,1.1,0.03,2.0000000000000002e-07,0.003,87.0,4e-06,3e-05,0.0,3e-05,0.00034,0.0001799999999999,6e-05,0.093,0.00014,0.0001
